seqnames	start	end	width	strand	pr	delta	number	Annotated.gene.symbols	Detected.Features
chr17	48633599	48634314	716	*	37.77	0.07	16	HOXB-AS4, HOXB7	cpg_islands, cpg_shores, introns, lncrna_gencode, promoters
chr17	49971324	49973696	2373	*	37.062	0.069	17	DLX4	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr2	218870935	218874020	3086	*	37.011	0.097	18	WNT6	3UTRs, cpg_islands, cpg_shores, exons, introns
chr7	27102049	27104098	2050	*	36.629	0.161	19	HOXA2	5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, promoters
chr11	64291231	64293002	1772	*	36.567	0.031	20	KCNK4, KCNK4-TEX40, AP001453.3	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr1	147077305	147081149	3845	*	35.719	-0.295	21		cpg_islands, cpg_shores, exons, firstexons, intergenic, promoters
chr1	47433298	47434612	1315	*	35.634	0.541	22	FOXD2-AS1	cpg_islands, cpg_shores, exons, firstexons, lncrna_gencode
chr9	122217737	122220659	2923	*	35.267	0.182	23	LHX6	cpg_islands, cpg_shores, introns
chr17	61395621	61406766	11146	*	35.213	0.079	24	TBX2, LOC101927855, TBX2-AS1, AC005746.2	3UTRs, 5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, lncrna_gencode, promoters
chr2	176151183	176153143	1961	*	34.983	0.083	25	HOXD4, HOXD3	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr21	33033086	33033425	340	*	34.949	0.303	26	AP000282.1	cpg_islands, cpg_shores, introns, lncrna_gencode
chr19	13011769	13014649	2881	*	34.816	0.111	27	NFIX, LOC107985286, AC138474.1	5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, lncrna_gencode, promoters
chr22	19754933	19757581	2649	*	34.767	0.047	28	TBX1	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr13	27916746	27930664	13919	*	34.47	0.085	29	PDX1, PLUT	3UTRs, 5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, intergenic, introns, lncrna_gencode, promoters
chr6	1387254	1395001	7748	*	34.31	0.061	30	FOXF2, MIR6720	3UTRs, 5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, promoters
chr22	19758632	19758696	65	*	34.133	0.108	31	TBX1	cpg_islands, introns, promoters
chr16	86578623	86580050	1428	*	33.821	0.072	32	FOXL1	3UTRs, 5UTRs, cpg_islands, exons, firstexons
chr17	48607753	48607991	239	*	33.752	0.474	33	HOXB7	3UTRs, cpg_islands, cpg_shores, exons
chr11	44303201	44306539	3339	*	33.676	0.066	34	ALX4	cpg_islands, cpg_shores, enhancers_fantom, introns
chr10	101122765	101124388	1624	*	33.669	0.052	35	TLX1NB	cpg_islands, cpg_shores, introns, lncrna_gencode
chr7	27098100	27099078	979	*	33.438	0.518	36	HOTAIRM1	cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr11	32430614	32430659	46	*	33.351	0.013	37	WT1	5UTRs, cpg_islands, exons, firstexons, introns
chr3	128485966	128493801	7836	*	33.291	0.009	38	GATA2, GATA2-AS1	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr7	27163478	27174764	11287	*	33.25	0.022	39	HOXA10, HOXA10-HOXA9, HOXA9, HOXA10-AS, MIR196B	3UTRs, 5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, lncrna_gencode, promoters
chr2	70903752	70908781	5030	*	33.199	0.227	40	ATP6V1B1, VAX2	cpg_islands, cpg_shores, introns
chr4	173505844	173510268	4425	*	33.081	0.213	41	LOC101928409, AC093849.2	cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr8	22047657	22048061	405	*	32.948	0.413	42	FGF17, DMTN	cpg_islands, cpg_shores, exons, introns, promoters
chr1	110067527	110070974	3448	*	32.587	0.108	43	ALX3, STRIP1	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr2	176154291	176166438	12148	*	32.482	0.124	44	HOXD3, HAGLR, AC009336.1	5UTRs, cpg_islands, cpg_shelves, cpg_shores, enhancers_fantom, exons, firstexons, introns, lncrna_gencode, promoters
chr2	218979632	218986459	6828	*	32.394	0.04	45	FEV, LINC00608	3UTRs, 5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, lncrna_gencode, promoters
chr9	130659155	130667264	8110	*	32.298	0.05	46	PRDM12	5UTRs, cpg_islands, cpg_shores, exons, firstexons, intergenic, introns, promoters
chr11	32432669	32440129	7461	*	32.23	0.065	47	WT1, WT1-AS	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr11	124759345	124760490	1146	*	32.223	0.167	48	ESAM-AS1, ESAM, AP000866.2	cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode
chr12	54030193	54031835	1643	*	32.131	0.041	49	HOXC6, HOXC4, HOXC5, AC012531.2	3UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, introns, lncrna_gencode
chr4	4863527	4873607	10081	*	32.115	0.076	50	MSX1	3UTRs, cpg_islands, cpg_shores, exons, intergenic
chr7	27191267	27194867	3601	*	31.866	0.079	51	HOXA13, AC004080.2	3UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, lncrna_gencode, promoters
chr18	22164826	22172358	7533	*	31.691	0.108	52	GATA6, GATA6-AS1	5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, lncrna_gencode, promoters
chr10	117131088	117135053	3966	*	31.684	0.072	53	VAX1	3UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, introns
chr5	173242171	173246721	4551	*	31.588	0.091	54		cpg_islands, cpg_shores, exons, firstexons, intergenic, promoters
chr2	45003698	45006712	3015	*	31.545	0.107	55	SIX2	3UTRs, cpg_islands, cpg_shores, exons, intergenic, introns
chr13	27973450	27981194	7745	*	31.543	0.12	56	URAD	3UTRs, cpg_islands, cpg_shelves, cpg_shores, enhancers_fantom, exons, intergenic, introns
chr7	27239034	27247123	8090	*	31.498	0.081	57	EVX1, EVX1-AS, AC004080.1	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr17	61451317	61458912	7596	*	31.489	0.138	58	TBX4	5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, promoters
chr17	48617335	48619703	2369	*	31.433	0.034	59	HOXB7	cpg_islands, cpg_shores, enhancers_fantom, introns
chr15	67819505	67830378	10874	*	31.418	0.099	60	SKOR1	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr4	8890998	8894837	3840	*	31.194	0.067	61		cpg_islands, cpg_shores, intergenic
chr12	48977398	48982353	4956	*	31.096	0.017	62	WNT1	3UTRs, 5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, promoters
chr15	45110659	45114860	4202	*	31.05	0.076	63	DUOX2, DUOXA2	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr17	48624665	48627159	2495	*	30.985	0.006	64	HOXB9, HOXB7	5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, promoters
chr1	220887472	220888297	826	*	30.977	0.141	65		cpg_islands, cpg_shores, intergenic
chr3	128485569	128485836	268	*	30.832	0.062	66	GATA2	cpg_shores, exons, introns
chr16	67162508	67166467	3960	*	30.779	0.086	67	FBXL8, HSF4	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr4	8854055	8879183	25129	*	30.739	0.067	68	HMX1, AC116612.1	3UTRs, 5UTRs, cpg_inter, cpg_islands, cpg_shelves, cpg_shores, exons, firstexons, intergenic, introns, lncrna_gencode, promoters
chr2	70896102	70901965	5864	*	30.709	0.07	69	VAX2, ATP6V1B1	5UTRs, cpg_islands, cpg_shelves, cpg_shores, enhancers_fantom, exons, firstexons, introns, promoters
chr12	54032557	54034924	2368	*	30.527	0.073	70	HOXC5, MIR615, HOXC4, AC012531.2	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr10	100728948	100731658	2711	*	30.449	0.044	71		cpg_islands, cpg_shores, enhancers_fantom, intergenic
chr8	22129646	22131372	1727	*	30.398	0.038	72	HRURF, HR	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr22	19758789	19761661	2873	*	30.25	0.094	73	TBX1	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr10	101120908	101122021	1114	*	30.133	0.053	74	TLX1NB	cpg_shelves, cpg_shores, introns, lncrna_gencode
chr17	48610044	48616081	6038	*	29.925	0.03	75	HOXB8, HOXB7	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr21	36690783	36711431	20649	*	29.921	0.079	76	SIM2, AP000697.1	5UTRs, cpg_islands, cpg_shelves, cpg_shores, enhancers_fantom, exons, firstexons, intergenic, introns, lncrna_gencode, promoters
chr17	48601716	48601911	196	*	29.65	0.233	77	HOXB-AS3, HOXB6	cpg_shelves, exons, introns, lncrna_gencode, promoters
chr16	56632033	56633814	1782	*	29.588	0.111	78	MT1M	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr17	48602153	48602936	784	*	29.503	0.127	79	HOXB-AS3, HOXB6	cpg_inter, cpg_shelves, exons, firstexons, introns, lncrna_gencode, promoters
chr7	27182964	27189544	6581	*	29.186	0.066	80	HOXA11, HOXA11-AS, AC004080.2	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr18	22176138	22177311	1174	*	29.145	0.122	81	GATA6, AC091588.1	cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr1	3072768	3074389	1622	*	29.107	-0.11	82	PRDM16	cpg_islands, cpg_shores, enhancers_fantom, introns
chr17	79790614	79793151	2538	*	29.102	0.169	83	CBX8	3UTRs, cpg_islands, exons, intergenic
chr9	97847551	97858487	10937	*	29.028	0.099	84	FOXE1, PTCSC2	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, intergenic, introns, lncrna_gencode, promoters
chr1	220891018	220894558	3541	*	28.997	0.182	85		cpg_islands, cpg_shores, intergenic
chr11	124760569	124760655	87	*	28.97	0.306	86	ESAM, ESAM-AS1, AP000866.2	cpg_shores, introns, lncrna_gencode
chr1	50415084	50431747	16664	*	28.914	0.086	87	DMRTA2, LOC105378714, AL049637.2	3UTRs, 5UTRs, cpg_islands, cpg_shelves, cpg_shores, enhancers_fantom, exons, firstexons, intergenic, introns, lncrna_gencode, promoters
chr5	173228607	173241655	13049	*	28.75	0.095	88	NKX2-5	3UTRs, 5UTRs, cpg_islands, cpg_shelves, cpg_shores, enhancers_fantom, exons, firstexons, intergenic, introns, promoters
chr2	19353279	19360077	6799	*	28.696	0.089	89	OSR1	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr17	35498070	35498270	201	*	28.483	0.634	90	SLFN12L, AC015911.11	cpg_inter, enhancers_fantom, exons, firstexons, introns, lncrna_gencode, promoters
chr9	122227933	122229222	1290	*	28.482	0.089	91	LHX6	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr17	48641598	48642924	1327	*	28.467	0.126	92	LOC101060400, AC103702.2	cpg_islands, cpg_shores, introns, lncrna_gencode
chr10	117530290	117538449	8160	*	28.415	0.07	93	EMX2OS	cpg_inter, cpg_islands, cpg_shelves, cpg_shores, enhancers_fantom, introns, lncrna_gencode
chr11	32426622	32429421	2800	*	28.344	0.062	94	WT1	cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr3	129974280	129975935	1656	*	28.299	0.041	95	TRH	5UTRs, cpg_islands, exons, firstexons, introns, promoters
chr1	47224767	47226426	1660	*	28.274	0.057	96	TAL1, AL135960.1	5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, lncrna_gencode, promoters
chr2	218883298	218884157	860	*	28.242	0.067	97	WNT10A	cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr19	13009893	13011736	1844	*	28.214	0.32	98	NFIX	cpg_islands, cpg_shores, introns, promoters
chr17	48584999	48587216	2218	*	28.163	0.053	99	HOXB-AS3, HOXB3, HOXB6	cpg_inter, cpg_shelves, enhancers_fantom, introns, lncrna_gencode
chr11	13962438	13964825	2388	*	28.072	0.056	100	SPON1	5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, promoters
chr10	75395338	75397339	2002	*	28.068	0.116	101	ZNF503, AC010997.3	cpg_islands, cpg_shores, enhancers_fantom, introns, lncrna_gencode
chr4	41743710	41753397	9688	*	28.05	0.135	102	PHOX2B, PHOX2B-AS1, AC105389.1, AC105389.3	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr6	1619063	1619265	203	*	28.039	0.231	103		cpg_islands, intergenic
chr9	93958279	93961964	3686	*	28.039	0.09	104	BARX1-DT	cpg_islands, cpg_shores, enhancers_fantom, exons, intergenic, introns, lncrna_gencode
chr7	27248872	27253088	4217	*	27.976	0.097	105		cpg_islands, cpg_shelves, cpg_shores, exons, intergenic, introns
chr10	99536689	99537722	1034	*	27.959	0.045	106		cpg_islands, intergenic
chr21	33022504	33029734	7231	*	27.939	0.09	107	OLIG2, AP000282.1	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr8	54456766	54460009	3244	*	27.867	0.149	108	SOX17	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr4	80263770	80269080	5311	*	27.786	0.094	109	FGF5	5UTRs, cpg_islands, cpg_shelves, cpg_shores, exons, firstexons, introns, promoters
chr5	135027276	135034925	7650	*	27.768	0.109	110	PITX1, PITX1-AS1, AC008406.3, C5orf66	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, intergenic, introns, lncrna_gencode, promoters
chr10	99519939	99521168	1230	*	27.701	0.045	111		cpg_islands, cpg_shores, intergenic
chr7	27147344	27153075	5732	*	27.6	0.037	112	HOXA3, HOXA6, HOXA-AS3, AC004080.5, AC004080.6	5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, lncrna_gencode, promoters
chr22	19765182	19768257	3076	*	27.505	0.036	113	TBX1	3UTRs, cpg_islands, cpg_shores, exons, introns
chr3	62376681	62376961	281	*	27.502	0.108	114		cpg_islands, cpg_shores
chr6	149963198	149965601	2404	*	27.425	0.021	115	ULBP1	5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, promoters
chr5	123098129	123100061	1933	*	27.285	0.118	116	PRDM6	cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr20	62473793	62477004	3212	*	27.254	0.085	117	GATA5	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr16	86565287	86569843	4557	*	27.22	0.09	118	FOXC2, FOXC2-AS1	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr10	100737149	100751173	14025	*	27.212	0.045	119	PAX2	5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, promoters
chr4	80201833	80203728	1896	*	27.183	-0.001	120	PRDM8	3UTRs, cpg_islands, cpg_shores, exons, introns
chr4	173514260	173533365	19106	*	27.175	0.118	121	HAND2, HAND2-AS1, SCRG1	3UTRs, 5UTRs, cpg_islands, cpg_shelves, cpg_shores, enhancers_fantom, exons, firstexons, intergenic, introns, lncrna_gencode, promoters
chr6	166165231	166170198	4968	*	27.049	0.075	122	TBXT, LNCDAT	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr7	155371279	155382831	11553	*	27.044	0.061	123	LINC03010, AC008060.1	cpg_islands, cpg_shores, exons, firstexons, intergenic, introns, lncrna_gencode, promoters
chr17	37741098	37746173	5076	*	27.025	0.076	124	HNF1B	5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, promoters
chr6	1376873	1386450	9578	*	26.901	0.048	125	AL034346.1	cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, intergenic, lncrna_gencode, promoters
chr13	50127095	50127844	750	*	26.673	0.252	126	DLEU1, AL137060.1	cpg_islands, enhancers_fantom, exons, firstexons, introns, lncrna_gencode
chr4	80196850	80198306	1457	*	26.666	0.232	127	PRDM8, PRDM8-AS1, AC021127.1	5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, lncrna_gencode, promoters
chr8	11691446	11710840	19395	*	26.591	0.07	128	GATA4	5UTRs, cpg_islands, cpg_shelves, cpg_shores, enhancers_fantom, exons, firstexons, introns, promoters
chr10	100723712	100725132	1421	*	26.581	0.092	129		cpg_islands, cpg_shores, intergenic
chr1	923217	926382	3166	*	26.466	0.006	130	SAMD11	5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, promoters
chr11	69816549	69820152	3604	*	26.46	0.05	131	FGF3	5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, promoters
chr11	32430791	32430879	89	*	26.456	0.172	132	WT1	5UTRs, cpg_islands, exons, firstexons, introns, promoters
chr7	27159669	27162109	2441	*	26.416	0.001	133		cpg_islands, cpg_shores
chr8	96152793	96162154	9362	*	26.341	0.087	134	GDF6	5UTRs, cpg_inter, cpg_islands, cpg_shelves, cpg_shores, enhancers_fantom, exons, firstexons, introns, promoters
chr6	1619315	1620692	1378	*	26.135	0.133	135		cpg_islands, intergenic
chr10	101145360	101147981	2622	*	26.135	0.08	136		cpg_islands, cpg_shores, intergenic
chr14	101562656	101565868	3213	*	26.078	0.087	137	DIO3, DIO3OS	3UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr10	117136515	117141715	5201	*	26.075	0.128	138	VAX1	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr17	48540956	48545011	4056	*	26.007	0.067	139	HOXB2, HOXB-AS1	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr1	3067522	3071587	4066	*	25.993	0.023	140	PRDM16, PRDM16-DT	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr10	93061251	93063857	2607	*	25.987	0.132	141	CYP26C1, CYP26A1, AL358613.3	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr17	48592072	48594408	2337	*	25.888	0.034	142	HOXB5, HOXB-AS3, HOXB6	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr1	47436491	47439778	3288	*	25.847	0.027	143	FOXD2	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, promoters
chr17	48579994	48580808	815	*	25.781	0.069	144	MIR10A, HOXB-AS3, HOXB3, HOXB6, AC103702.1	cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr16	86492762	86517181	24420	*	25.725	0.048	145	FOXF1, FENDRR	3UTRs, 5UTRs, cpg_islands, cpg_shelves, cpg_shores, enhancers_fantom, exons, firstexons, intergenic, introns, lncrna_gencode, promoters
chr5	171306190	171319486	13297	*	25.669	0.085	146	TLX3, AC091980.2	3UTRs, 5UTRs, cpg_islands, cpg_shelves, cpg_shores, exons, firstexons, intergenic, introns, lncrna_gencode, promoters
chr20	40682533	40684852	2320	*	25.64	0.066	147		cpg_islands, cpg_shores, enhancers_fantom, intergenic
chr17	48588920	48590225	1306	*	25.629	0.199	148	HOXB3, HOXB-AS3, HOXB6	5UTRs, cpg_shelves, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr8	736706	739472	2767	*	25.605	0.088	149	DLGAP2, ERICH1, LOC401442, AC100797.5	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr17	80474411	80479267	4857	*	25.562	0.04	150	NPTX1	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr15	41511321	41514021	2701	*	25.404	0.087	151	LTK	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr20	40686411	40693366	6956	*	25.376	0.048	152	MAFB	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, promoters
chr7	155448127	155473510	25384	*	25.367	0.062	153	EN2, AC008060.3	3UTRs, 5UTRs, cpg_inter, cpg_islands, cpg_shelves, cpg_shores, enhancers_fantom, exons, firstexons, intergenic, introns, lncrna_gencode, promoters
chr8	54453233	54456046	2814	*	25.217	0.099	154		cpg_islands, cpg_shores, enhancers_fantom
chr9	124503097	124505291	2195	*	25.216	0.1	155	NR5A1	5UTRs, cpg_islands, enhancers_fantom, exons, introns
chr13	27789090	27798076	8987	*	25.179	0.097	156	GSX1	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, intergenic, introns, promoters
chr19	3357813	3361679	3867	*	25.134	0.009	157	NFIC	5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, promoters
chr8	54465581	54468103	2523	*	25.127	0.129	158		cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr10	93065789	93069437	3649	*	25.105	0.079	159	CYP26C1, CYP26A1, AL358613.3	3UTRs, cpg_islands, cpg_shores, exons, introns, lncrna_gencode
chr10	101214555	101220037	5483	*	25.08	0.065	160		cpg_islands, cpg_shores, intergenic
chr8	26035937	26053542	17606	*	25.054	0.089	161	EBF2	5UTRs, cpg_islands, cpg_shelves, cpg_shores, enhancers_fantom, exons, firstexons, intergenic, introns, promoters
chr19	39247548	39248115	568	*	25.034	0.266	162	IFNL4	cpg_islands, exons, introns
chr4	4852388	4863221	10834	*	24.961	0.07	163	MSX1	3UTRs, 5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, intergenic, introns, promoters
chr10	132784091	132789479	5389	*	24.922	0.086	164	NKX6-2	3UTRs, 5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, promoters
chr13	27966005	27971757	5753	*	24.858	0.08	165	CDX2	5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, promoters
chr17	2057880	2058073	194	*	24.759	0.548	166	HIC1	cpg_islands, exons
chr2	74513073	74516665	3593	*	24.636	0.093	167	TLX2	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr17	2023424	2026310	2887	*	24.627	0.039	168	RTN4RL1, LOC105371486, AC099684.3	5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, lncrna_gencode, promoters
chr12	53971994	54018488	46495	*	24.62	0.062	169	HOXC10, HOXC11, HOXC8, HOXC9, HOXC4, HOXC6, HOTAIR, HOXC-AS1, HOXC-AS2, HOXC-AS3, HOXC5, MIR196A2, AC012531.2	3UTRs, 5UTRs, cpg_inter, cpg_islands, cpg_shelves, cpg_shores, enhancers_fantom, exons, firstexons, intergenic, introns, lncrna_gencode, promoters
chr12	54024055	54024386	332	*	24.583	0.11	170	HOXC4, HOXC5, HOXC6, AC012531.2	cpg_inter, introns, lncrna_gencode
chr7	117322010	117325098	3089	*	24.538	0.081	171	WNT2, LOC105375467, CFTR, AC002465.1	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr16	56669336	56670525	1190	*	24.502	0.195	172	MT1H	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr2	74502272	74503821	1550	*	24.438	0.1	173	LBX2, LBX2-AS1, AC005041.3	5UTRs, cpg_islands, exons, firstexons, introns, lncrna_gencode, promoters
chr1	92482240	92487098	4859	*	24.434	-0.01	174	GFI1	5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, promoters
chr1	110083060	110085030	1971	*	24.355	0.026	175	LINC01397	cpg_islands, cpg_shores, enhancers_fantom, exons, introns, lncrna_gencode
chr17	48576522	48579586	3065	*	24.303	0.003	176	HOXB4, HOXB3, HOXB-AS3, HOXB6	3UTRs, 5UTRs, cpg_islands, cpg_shelves, cpg_shores, enhancers_fantom, exons, firstexons, introns, lncrna_gencode, promoters
chr1	179742411	179744569	2159	*	24.301	0.102	177	FAM163A, AL359853.3	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr17	48742977	48755612	12636	*	24.292	0.119	178		cpg_inter, cpg_islands, cpg_shelves, cpg_shores, enhancers_fantom, intergenic
chr1	220878078	220881639	3562	*	24.277	0.038	179	MTARC1, HLX, HLX-AS1	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr17	35486959	35488703	1745	*	24.259	0.053	180	SLFN12L, AC015911.11	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr17	48564271	48564675	405	*	24.243	-0.073	181	HOXB-AS3, HOXB3	cpg_islands, introns, lncrna_gencode
