seqnames	start	end	width	strand	pr	delta	number	Annotated.gene.symbols	Detected.Features
chr6	1378110	1380355	2246	*	33.3	0.3	35		cpg_islands, cpg_shores, enhancers_fantom, intergenic
chr22	19759300	19762905	3606	*	33.116	0.083	36	TBX1	5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, promoters
chr2	45003940	45005749	1810	*	32.453	-0.132	37	SIX2	3UTRs, cpg_islands, cpg_shores, exons, intergenic
chr8	96157392	96161928	4537	*	32.23	-0.009	38	GDF6	5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, promoters
chr1	118992798	118993615	818	*	31.962	0.335	39		cpg_islands, cpg_shores, enhancers_fantom
chr20	21702742	21703991	1250	*	31.892	0.097	40	LINC01726	cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr4	4869668	4872921	3254	*	31.79	0.133	41		cpg_islands, cpg_shores, intergenic
chr17	48616887	48620271	3385	*	31.737	0.012	42	HOXB7	cpg_islands, cpg_shores, enhancers_fantom, introns
chr9	130658862	130667118	8257	*	31.527	0.045	43	PRDM12	5UTRs, cpg_islands, cpg_shores, exons, firstexons, intergenic, introns, promoters
chr1	220887416	220888297	882	*	31.505	0.15	44		cpg_islands, cpg_shores, intergenic
chr16	56631842	56633320	1479	*	31.483	0.047	45	MT1M	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr16	67163169	67166278	3110	*	31.443	0.127	46	FBXL8, HSF4	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr5	73298339	73301224	2886	*	31.245	0.109	47		cpg_islands, cpg_shores, intergenic
chr17	61451623	61452904	1282	*	30.865	0.172	48	TBX4	5UTRs, cpg_islands, exons, firstexons, introns, promoters
chr21	36690315	36711053	20739	*	30.446	0.053	49	SIM2, AP000697.1	5UTRs, cpg_islands, cpg_shelves, cpg_shores, enhancers_fantom, exons, firstexons, intergenic, introns, lncrna_gencode, promoters
chr1	220893379	220894754	1376	*	30.379	0.059	50		cpg_islands, cpg_shores, intergenic
chr10	117530983	117538449	7467	*	30.243	0.212	51	EMX2OS	cpg_islands, cpg_shelves, cpg_shores, enhancers_fantom, introns, lncrna_gencode
chr11	31812795	31818470	5676	*	30.215	0.012	52	PAX6, RCN1, PAX6-AS1, PAUPAR	5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, lncrna_gencode, promoters
chr1	220891197	220893063	1867	*	30.165	0.256	53		cpg_islands, cpg_shores, intergenic
chr4	173518752	173519805	1054	*	30.118	-0.082	54	SCRG1	cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, promoters
chr5	173234446	173235460	1015	*	30.063	-0.072	55	NKX2-5	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr2	176066858	176068961	2104	*	29.992	0.121	56		cpg_islands, cpg_shores, intergenic
chr12	114412928	114414532	1605	*	29.955	0.685	57		cpg_islands, cpg_shores, intergenic
chr17	48610044	48616248	6205	*	29.947	0.057	58	HOXB8, HOXB7	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr14	60642321	60644421	2101	*	29.498	0.033	59	SIX1, SALRNA1	3UTRs, cpg_islands, cpg_shores, exons, intergenic, lncrna_gencode
chr5	135027276	135031737	4462	*	29.454	0.184	60	PITX1	3UTRs, cpg_islands, cpg_shores, exons, firstexons, intergenic, introns
chr4	80201833	80203535	1703	*	29.165	0.006	61	PRDM8	3UTRs, cpg_islands, cpg_shores, exons, introns
chr18	22176138	22177311	1174	*	29.145	-0.275	62	GATA6, AC091588.1	cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr20	40682533	40684171	1639	*	29.081	-0.329	63		cpg_islands, cpg_shores, enhancers_fantom, intergenic
chr2	19353351	19360031	6681	*	28.824	-0.181	64	OSR1	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr12	114400056	114412061	12006	*	28.782	0.079	65	TBX5, TBX5-AS1	5UTRs, cpg_islands, cpg_shelves, cpg_shores, enhancers_fantom, exons, firstexons, introns, lncrna_gencode, promoters
chr9	975542	977689	2148	*	28.645	0.081	66	DMRT3	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr3	147421129	147421883	755	*	28.594	0.105	67	LOC440982	cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr1	3072675	3074580	1906	*	28.358	0.055	68	PRDM16	cpg_islands, cpg_shores, enhancers_fantom, introns
chr7	27160560	27187015	26456	*	28.311	0.225	69	HOXA10, HOXA10-HOXA9, HOXA11, HOXA9, HOXA10-AS, HOXA11-AS, MIR196B, AC004080.2	3UTRs, 5UTRs, cpg_islands, cpg_shelves, cpg_shores, enhancers_fantom, exons, firstexons, introns, lncrna_gencode, promoters
chr7	27142815	27143978	1164	*	28.273	0.007	70	HOXA5, HOXA-AS3, HOXA3, AC004080.6	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr2	176103618	176105833	2216	*	28.23	-0.21	71	HOXD11	cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, promoters
chr2	44940659	44943580	2922	*	28.211	0.008	72	SIX3, SIX3-AS1	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr3	128481617	128494174	12558	*	28.084	0.034	73	GATA2, GATA2-AS1	5UTRs, cpg_inter, cpg_islands, cpg_shelves, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr12	114692275	114693499	1225	*	28.042	0.183	74	AC026765.2	cpg_islands, cpg_shores, enhancers_fantom, introns, lncrna_gencode
chr16	86492083	86511581	19499	*	28.022	0.026	75	FOXF1, FENDRR	5UTRs, cpg_islands, cpg_shelves, cpg_shores, enhancers_fantom, exons, firstexons, introns, lncrna_gencode, promoters
chr4	4856438	4857119	682	*	28.008	0.247	76		cpg_islands, cpg_shores
chr16	86578083	86580768	2686	*	27.941	0.207	77	FOXL1	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr7	27248795	27252236	3442	*	27.802	0.214	78		cpg_islands, cpg_shelves, cpg_shores, exons, intergenic, introns
chr13	50127401	50127878	478	*	27.728	0.024	79	DLEU1, AL137060.1	cpg_islands, enhancers_fantom, exons, firstexons, introns, lncrna_gencode
chr7	27147560	27153090	5531	*	27.584	0.035	80	HOXA3, HOXA6, HOXA-AS3, AC004080.5, AC004080.6	5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, lncrna_gencode, promoters
chr14	94768451	94770776	2326	*	27.36	0.084	81	GSC, AL121612.2	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr2	218882842	218884320	1479	*	27.352	0.051	82	WNT10A	cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr16	86514917	86517181	2265	*	27.336	-0.137	83	FOXF1	3UTRs, cpg_islands, cpg_shores, exons, intergenic
chr15	67817672	67830356	12685	*	27.233	0.079	84	SKOR1	5UTRs, cpg_islands, cpg_shelves, cpg_shores, exons, firstexons, introns, promoters
chr9	126623872	126626713	2842	*	27.232	0.065	85	LMX1B	cpg_islands, introns
chr4	80263799	80269233	5435	*	27.146	-0.002	86	FGF5	5UTRs, cpg_islands, cpg_shelves, cpg_shores, exons, firstexons, introns, promoters
chr2	222294070	222313557	19488	*	27.008	-0.052	87	PAX3, CCDC140	3UTRs, 5UTRs, cpg_islands, cpg_shelves, cpg_shores, enhancers_fantom, exons, firstexons, intergenic, introns, promoters
chr1	92480338	92487098	6761	*	26.819	0.061	88	GFI1	5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, promoters
chr12	54106279	54107245	967	*	26.815	0.229	89	FLJ12825, FAM242C, AC023794.1	cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr1	110083443	110085215	1773	*	26.809	-0.007	90	LINC01397	cpg_islands, cpg_shores, enhancers_fantom, exons, introns, lncrna_gencode
chr4	80196909	80198431	1523	*	26.732	-0.07	91	PRDM8, PRDM8-AS1, AC021127.1	5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, lncrna_gencode, promoters
chr17	48621089	48634694	13606	*	26.689	0.025	92	HOXB9, HOXB-AS4, HOXB7, MIR196A1	3UTRs, 5UTRs, cpg_islands, cpg_shelves, cpg_shores, enhancers_fantom, exons, firstexons, introns, lncrna_gencode, promoters
chr17	61461463	61463002	1540	*	26.681	0.342	93	TBX4, AC005901.1	cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode
chr4	173526540	173531025	4486	*	26.567	0.137	94	HAND2, HAND2-AS1	3UTRs, 5UTRs, cpg_islands, cpg_shelves, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr8	96153941	96156265	2325	*	26.538	-0.036	95	GDF6	cpg_shelves, cpg_shores, introns
chr7	27212598	27213322	725	*	26.468	0.299	96	AC004080.7	cpg_islands, cpg_shores, exons, firstexons, lncrna_gencode, promoters
chr13	27915295	27934505	19211	*	26.448	0.037	97	PDX1, PLUT	3UTRs, 5UTRs, cpg_inter, cpg_islands, cpg_shelves, cpg_shores, enhancers_fantom, exons, firstexons, intergenic, introns, lncrna_gencode, promoters
chr2	172081078	172088865	7788	*	26.434	0.053	98	DLX1, METAP1D	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr1	197908111	197921713	13603	*	26.261	0.035	99	LHX9	3UTRs, 5UTRs, cpg_islands, cpg_shelves, cpg_shores, exons, firstexons, introns, promoters
chr5	135032607	135034925	2319	*	26.243	0.032	100	PITX1, PITX1-AS1, AC008406.3, C5orf66	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr17	48562441	48565061	2621	*	26.234	0.045	101	HOXB-AS3, HOXB3	cpg_islands, cpg_shores, enhancers_fantom, introns, lncrna_gencode
chr2	118842242	118848383	6142	*	26.231	0.275	102	EN1	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr17	48592072	48594801	2730	*	26.188	0.17	103	HOXB5, HOXB-AS3, HOXB6	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr10	100728245	100731658	3414	*	26.164	0.045	104		cpg_islands, cpg_shores, enhancers_fantom, intergenic
chr2	161423174	161428183	5010	*	26.127	0.093	105	TBR1, SLC4A10, AC009487.1, AC009487.3	3UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr6	1619063	1620617	1555	*	26.088	0.061	106		cpg_islands, intergenic
chr1	923081	926509	3429	*	26.084	0.021	107	SAMD11	5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, promoters
chr16	56669371	56670322	952	*	26.072	0.041	108	MT1H	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr9	124010797	124012813	2017	*	26.061	0.014	109	LHX2, AC006450.1	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr12	114699848	114700640	793	*	26.011	-0.013	110	AC026765.2	cpg_islands, cpg_shores, introns, lncrna_gencode
chr6	1624367	1625569	1203	*	25.985	0.026	111	GMDS	cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr1	3067262	3071304	4043	*	25.926	0.06	112	PRDM16, PRDM16-DT	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr17	48541232	48545455	4224	*	25.579	0.281	113	HOXB2, HOXB-AS1	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr7	27239553	27240591	1039	*	25.554	0.176	114	AC004080.1	cpg_islands, cpg_shores, exons, introns, lncrna_gencode
chr7	27095387	27099078	3692	*	25.476	-0.012	115	HOXA1, HOTAIRM1	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr7	1227495	1244359	16865	*	25.396	0.04	116	UNCX	3UTRs, 5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, intergenic, introns, promoters
chr10	99532237	99543306	11070	*	25.377	0.039	117	NKX2-3	3UTRs, 5UTRs, cpg_islands, cpg_shelves, cpg_shores, enhancers_fantom, exons, firstexons, intergenic, introns, promoters
chr4	173537845	173539451	1607	*	25.34	0.28	118	HAND2-AS1	cpg_islands, cpg_shores, exons, introns, lncrna_gencode
chr5	93571710	93573468	1759	*	25.288	0.196	119	NR2F1-AS1	cpg_islands, cpg_shores, introns, lncrna_gencode, promoters
chr3	147408430	147412471	4042	*	25.263	0.047	120	ZIC1, LOC440982	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr3	138949870	138950665	796	*	25.237	-0.119	121	FOXL2NB	3UTRs, cpg_islands, cpg_shores, exons, introns
chr1	47436491	47439671	3181	*	25.133	0.062	122	FOXD2	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, promoters
chr12	53972181	54015197	43017	*	25.082	-0.073	123	HOXC10, HOXC11, HOXC8, HOXC9, HOXC6, HOTAIR, HOXC-AS1, HOXC-AS2, HOXC-AS3, HOXC5, MIR196A2	3UTRs, 5UTRs, cpg_inter, cpg_islands, cpg_shelves, cpg_shores, enhancers_fantom, exons, firstexons, intergenic, introns, lncrna_gencode, promoters
chr15	41511321	41514077	2757	*	25.046	0.091	124	LTK	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr2	176187274	176189717	2444	*	25.038	0.072	125	HOXD1, HAGLR, MIR7704	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr11	44309050	44314461	5412	*	24.912	0.155	126	ALX4	5UTRs, cpg_islands, cpg_shelves, cpg_shores, exons, firstexons, introns, promoters
chr19	3357794	3362335	4542	*	24.87	0.03	127	NFIC	5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, promoters
chr1	118999209	119002551	3343	*	24.85	0.281	128	LOC105378933, AL139420.1, AL139420.2	cpg_islands, cpg_shores, exons, firstexons, intergenic, introns, lncrna_gencode, promoters
chr2	20665058	20667735	2678	*	24.652	0.012	129	GDF7	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr15	74127409	74134767	7359	*	24.625	0.098	130	ISLR2, LOC283731, AC010931.2	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr2	199462645	199464881	2237	*	24.575	0.043	131	SATB2, SATB2-AS1	5UTRs, cpg_islands, enhancers_fantom, exons, firstexons, introns, lncrna_gencode, promoters
chr10	99526780	99531640	4861	*	24.572	0.116	132	LINC01475, AL513542.1	cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr2	74502272	74503821	1550	*	24.438	-0.033	133	LBX2, LBX2-AS1, AC005041.3	5UTRs, cpg_islands, exons, firstexons, introns, lncrna_gencode, promoters
chr10	117539175	117553977	14803	*	24.432	0.029	134	EMX2, EMX2OS	3UTRs, 5UTRs, cpg_islands, cpg_shelves, cpg_shores, enhancers_fantom, exons, firstexons, intergenic, introns, lncrna_gencode, promoters
chr1	220878698	220880670	1973	*	24.402	0.008	135	HLX, HLX-AS1, MTARC1	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr4	110611384	110612234	851	*	24.364	0.122	136	PANCR	cpg_islands, cpg_shores, introns, lncrna_gencode
chr7	155371279	155384879	13601	*	24.334	0.012	137	LINC03010, AC008060.1	cpg_islands, cpg_shelves, cpg_shores, exons, firstexons, intergenic, introns, lncrna_gencode, promoters
chr11	13962438	13965487	3050	*	24.305	0.002	138	SPON1	5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, promoters
chr6	100463887	100465973	2087	*	24.218	0.001	139	SIM1	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr4	54103609	54104250	642	*	24.148	0.189	140	PDGFRA	cpg_shelves, cpg_shores, introns
chr11	128689368	128690927	1560	*	24.144	0.086	141	FLI1	cpg_islands, cpg_shores, introns
chr11	31805828	31806561	734	*	24.043	0.027	142	PAX6	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr6	1310833	1314038	3206	*	24.019	0.011	143	FOXQ1	3UTRs, 5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, promoters
chr6	149962788	149965599	2812	*	24.003	-0.006	144	ULBP1	5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, promoters
chr17	2023421	2026442	3022	*	23.8	0.033	145	RTN4RL1, LOC105371486, AC099684.3	5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, lncrna_gencode, promoters
chr17	48584582	48590515	5934	*	23.733	0.325	146	HOXB3, HOXB-AS3, HOXB6	5UTRs, cpg_inter, cpg_shelves, cpg_shores, enhancers_fantom, exons, firstexons, introns, lncrna_gencode, promoters
chr5	173236590	173241655	5066	*	23.53	0.068	147		cpg_islands, cpg_shelves, cpg_shores, enhancers_fantom, intergenic
chr15	96359685	96361508	1824	*	23.526	-0.059	148	LOC101927263, AC087477.2	cpg_islands, cpg_shores, exons, introns, lncrna_gencode
chr5	43037308	43038509	1202	*	23.475	0.375	149	ANXA2R-OT1, AC025171.1	cpg_islands, cpg_shores, introns, lncrna_gencode
chr20	62473524	62478606	5083	*	23.404	0.036	150	GATA5, AL499627.2	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr5	3590530	3592278	1749	*	23.359	0.251	151		cpg_islands, cpg_shores, intergenic
chr18	59266671	59268078	1408	*	23.306	0.445	152	RAX	3UTRs, cpg_islands, cpg_shores, exons, intergenic
chr5	32709706	32714343	4638	*	23.305	0.041	153	NPR3	5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, promoters
chr5	123088318	123091187	2870	*	23.252	-0.003	154	PRDM6, PRDM6-AS1, AC106786.1	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr2	74512675	74516775	4101	*	23.179	0.059	155	TLX2	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr4	4859020	4861629	2610	*	23.178	0.026	156	MSX1	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr12	54172933	54173866	934	*	23.161	0.011	157	SMUG1	cpg_inter, exons, firstexons, introns, promoters
chr17	9002109	9004433	2325	*	23.109	0.087	158		cpg_islands, cpg_shores, intergenic
chr22	49848050	49850391	2342	*	23.057	0.056	159		cpg_islands, cpg_shores, enhancers_fantom
chr6	10418707	10427027	8321	*	23.001	-0.364	160	TFAP2A, LOC107986564, AL138885.2, AL138885.4	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr4	4852480	4853992	1513	*	23	0.028	161		cpg_islands, cpg_shores, enhancers_fantom, intergenic
chr1	110070054	110071024	971	*	22.954	0.014	162	ALX3, STRIP1	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr15	45108407	45118403	9997	*	22.916	0.001	163	DUOXA1, DUOXA2, DUOX2	3UTRs, 5UTRs, cpg_islands, cpg_shelves, cpg_shores, exons, firstexons, introns, promoters
chr2	172091967	172104783	12817	*	22.911	0.035	164	DLX2, DLX2-DT	3UTRs, 5UTRs, cpg_islands, cpg_shelves, cpg_shores, enhancers_fantom, exons, firstexons, introns, lncrna_gencode, promoters
chr9	126610035	126615778	5744	*	22.886	0.079	165	LMX1B, LMX1B-DT, AL161908.1	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr17	79789543	79794379	4837	*	22.876	-0.016	166	CBX8	3UTRs, cpg_islands, cpg_shores, exons, intergenic
chr4	54097601	54101816	4216	*	22.805	0.038	167	GSX2, PDGFRA	3UTRs, 5UTRs, cpg_islands, cpg_shelves, cpg_shores, exons, firstexons, introns, promoters
chr2	176110831	176112934	2104	*	22.655	0.11	168	HOXD10	cpg_islands, cpg_shores, exons, introns
chr6	1381217	1384082	2866	*	22.646	0.358	169	AL034346.1	cpg_islands, cpg_shores, exons, firstexons, intergenic, lncrna_gencode
chr2	218979459	218998151	18693	*	22.62	0.01	170	CRYBA2, FEV, LINC00608	3UTRs, 5UTRs, cpg_islands, cpg_shelves, cpg_shores, enhancers_fantom, exons, firstexons, intergenic, introns, lncrna_gencode, promoters
chr1	50409628	50432328	22701	*	22.581	0.017	171	DMRTA2, LOC105378714, AL049637.2	3UTRs, 5UTRs, cpg_inter, cpg_islands, cpg_shelves, cpg_shores, enhancers_fantom, exons, firstexons, intergenic, introns, lncrna_gencode, promoters
chr10	117129023	117134872	5850	*	22.562	0.055	172	VAX1	3UTRs, cpg_islands, cpg_shelves, cpg_shores, enhancers_fantom, exons, introns
chr17	48601965	48605418	3454	*	22.547	0.05	173	HOXB6, HOXB-AS3	5UTRs, cpg_inter, cpg_shelves, enhancers_fantom, exons, firstexons, introns, lncrna_gencode, promoters
chr2	218880330	218881577	1248	*	22.543	0.013	174	WNT10A	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr6	37695913	37699539	3627	*	22.532	0.026	175	MDGA1	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr9	122216677	122223477	6801	*	22.362	0.054	176	LHX6	5UTRs, cpg_islands, cpg_shelves, cpg_shores, exons, firstexons, introns, promoters
chr10	22475508	22476652	1145	*	22.322	0.021	177	AL513128.2, AL513128.3	cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, lncrna_gencode, promoters
chr9	97845139	97861100	15962	*	22.272	0.045	178	FOXE1, PTCSC2	3UTRs, 5UTRs, cpg_islands, cpg_shelves, cpg_shores, exons, firstexons, intergenic, introns, lncrna_gencode, promoters
chr15	41501199	41503634	2436	*	22.206	0.136	179	ITPKA	3UTRs, cpg_islands, cpg_shores, exons, firstexons, intergenic, introns, promoters
chr8	26033480	26053588	20109	*	22.121	0.05	180	EBF2	5UTRs, cpg_inter, cpg_islands, cpg_shelves, cpg_shores, enhancers_fantom, exons, firstexons, intergenic, introns, promoters
chr15	96329790	96333995	4206	*	21.979	0.045	181	NR2F2, MIR1469	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr12	54052315	54055090	2776	*	21.925	0.349	182	HOXC4	5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, promoters
chr2	176134926	176137392	2467	*	21.92	0.04	183	HOXD3, HOXD-AS2, LOC401021	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr2	176177842	176178814	973	*	21.916	0.071	184	HAGLR, HAGLROS	cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
