seqnames	start	end	width	strand	pr	delta	number	Annotated.gene.symbols	Detected.Features
chr17	61402199	61405386	3188	*	37.489	0.022	46	TBX2, TBX2-AS1	3UTRs, cpg_islands, exons, introns, lncrna_gencode
chr1	220884186	220884947	762	*	37.342	0.019	47	HLX, MTARC1	3UTRs, cpg_islands, cpg_shores, exons, firstexons, introns
chr2	172081464	172081731	268	*	37.33	0.266	48	METAP1D	3UTRs, cpg_shores, exons
chr7	27187720	27189270	1551	*	37.018	0.036	49	HOXA11-AS, AC004080.2	cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr17	48554647	48554766	120	*	36.965	0.179	50	HOXB3, HOXB-AS3	cpg_islands, exons, introns, lncrna_gencode, promoters
chr5	173243109	173245993	2885	*	36.872	0.047	51		cpg_islands, cpg_shores, exons, firstexons, intergenic, promoters
chr15	89377585	89379004	1420	*	36.692	0.04	52	MIR9-3HG	cpg_islands, exons, firstexons, introns, lncrna_gencode, promoters
chr2	176151183	176152842	1660	*	36.636	0.036	53	HOXD4, HOXD3	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr17	61456875	61458102	1228	*	36.62	0.025	54	TBX4	5UTRs, cpg_islands, cpg_shores, exons, introns
chr10	101221526	101226111	4586	*	36.6	0.047	55		cpg_islands, cpg_shores, intergenic
chr7	27102049	27104140	2092	*	36.466	0.026	56	HOXA2	5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, promoters
chr2	19356241	19358888	2648	*	36.29	0.065	57	OSR1	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr12	53927760	53928549	790	*	36.267	0.051	58		cpg_islands, cpg_shores, intergenic
chr7	27155615	27157373	1759	*	36.237	0.03	59	HOXA7, HOXA-AS3	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr7	155448157	155461033	12877	*	36.064	0.031	60	EN2, AC008060.3	5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, lncrna_gencode, promoters
chr22	45971646	45971867	222	*	35.841	0.097	61	WNT7B	cpg_islands, introns
chr1	147077233	147081083	3851	*	35.801	0.077	62		cpg_islands, cpg_shores, exons, firstexons, intergenic, promoters
chr2	176156873	176166438	9566	*	35.717	0.033	63	HOXD3, HAGLR, AC009336.1	5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, lncrna_gencode, promoters
chr10	99532544	99534105	1562	*	35.711	0.085	64	NKX2-3	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr5	154482685	154483091	407	*	35.487	0.129	65		cpg_islands, cpg_shores, enhancers_fantom
chr5	93593696	93593973	278	*	35.25	0.046	66	NR2F1	3UTRs, cpg_islands, cpg_shores, exons
chr22	19755157	19757625	2469	*	35.131	0.013	67	TBX1	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr17	36942137	36943778	1642	*	35.095	0.052	68	LHX1, AC243773.1	3UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr14	74239282	74243122	3841	*	35.003	0.025	69	VSX2	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr5	1876762	1876927	166	*	34.985	0.141	70		cpg_islands, enhancers_fantom, intergenic
chr2	218979894	218985864	5971	*	34.902	0.021	71	FEV, LINC00608	3UTRs, 5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, lncrna_gencode, promoters
chr13	27916746	27930423	13678	*	34.877	0.036	72	PDX1, PLUT	3UTRs, 5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, intergenic, introns, lncrna_gencode, promoters
chr11	64291077	64292984	1908	*	34.868	0	73	KCNK4, KCNK4-TEX40, AP001453.3	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr8	22689723	22690262	540	*	34.725	0.101	74	EGR3, LOC107986925, AC055854.1	3UTRs, cpg_islands, exons, firstexons, lncrna_gencode, promoters
chr11	44303429	44306661	3233	*	34.717	0.021	75	ALX4	cpg_islands, cpg_shores, enhancers_fantom, introns
chr11	124751647	124752421	775	*	34.643	0.08	76	VSIG2	5UTRs, cpg_inter, exons, firstexons, introns, promoters
chr6	100457406	100458777	1372	*	34.508	0.066	77	SIM1	cpg_islands, cpg_shores, enhancers_fantom, introns
chr17	61395928	61401336	5409	*	34.432	0.023	78	TBX2, LOC101927855, TBX2-AS1, AC005746.2	5UTRs, cpg_islands, enhancers_fantom, exons, firstexons, introns, lncrna_gencode, promoters
chr12	48977844	48981886	4043	*	34.212	0.002	79	WNT1	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr21	36691639	36701964	10326	*	34.212	0.046	80	SIM2, AP000697.1	5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, intergenic, introns, lncrna_gencode, promoters
chr17	49964190	49964278	89	*	34.2	0.013	81		cpg_islands
chr7	27189340	27189499	160	*	34.159	0.108	82	AC004080.2	cpg_islands, cpg_shores, introns, lncrna_gencode
chr21	36703875	36707028	3154	*	34.15	0.037	83	SIM2	cpg_islands, cpg_shores, enhancers_fantom, introns
chr6	100446506	100449721	3216	*	34.098	0.069	84	SIM1	cpg_islands, cpg_shores, exons, introns
chr4	8891692	8894541	2850	*	33.974	0.017	85		cpg_islands, intergenic
chr10	100747141	100752131	4991	*	33.97	0.013	86	PAX2	5UTRs, cpg_islands, cpg_shelves, cpg_shores, exons, firstexons, introns, promoters
chr1	119005771	119009228	3458	*	33.697	0.008	87		cpg_islands, cpg_shores, intergenic
chr2	161426869	161428016	1148	*	33.599	0.073	88	SLC4A10, AC009487.3	cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr10	99527258	99528239	982	*	33.587	0.151	89	LINC01475, AL513542.1	cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr16	86578623	86580125	1503	*	33.558	0.018	90	FOXL1	3UTRs, 5UTRs, cpg_islands, exons, firstexons
chr2	45004166	45005582	1417	*	33.542	0.049	91	SIX2	3UTRs, cpg_islands, cpg_shores, exons, intergenic
chr5	135028371	135028720	350	*	33.527	0.218	92	PITX1	3UTRs, cpg_islands, exons
chr4	173521441	173523729	2289	*	33.522	0.078	93		cpg_islands, cpg_shores, enhancers_fantom
chr8	26041883	26048727	6845	*	33.409	0.028	94	EBF2	5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, promoters
chr10	101122825	101124469	1645	*	33.366	0.035	95	TLX1NB	cpg_islands, cpg_shores, introns, lncrna_gencode
chr9	93958457	93960879	2423	*	33.353	0.03	96	BARX1-DT	cpg_islands, exons, intergenic, introns, lncrna_gencode
chr13	27975084	27982196	7113	*	33.24	0.015	97	URAD	3UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, intergenic, introns
chr4	8864344	8864875	532	*	33.214	-0.041	98	HMX1	cpg_shores, introns
chr7	27169085	27170423	1339	*	33.089	0.002	99	HOXA10-AS, HOXA9, MIR196B, HOXA10-HOXA9	cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr6	1388290	1391523	3234	*	33.033	0.009	100	FOXF2, MIR6720	5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, promoters
chr1	50422607	50428549	5943	*	32.963	0.028	101	DMRTA2, LOC105378714, AL049637.2	5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, intergenic, introns, lncrna_gencode, promoters
chr9	97851364	97855003	3640	*	32.909	0.038	102	FOXE1, PTCSC2	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr1	156435504	156438017	2514	*	32.823	0.046	103	MIR9-1HG	cpg_islands, cpg_shores, enhancers_fantom, introns
chr17	61451776	61452822	1047	*	32.789	0.035	104	TBX4	5UTRs, cpg_islands, exons, firstexons, introns, promoters
chr5	55222838	55223331	494	*	32.674	0.271	105	MCIDAS	cpg_islands, cpg_shores, exons, introns
chr11	32430608	32430739	132	*	32.666	0.385	106	WT1	5UTRs, cpg_islands, exons, firstexons, introns
chr2	118834448	118836408	1961	*	32.604	-0.027	107	LINC01956	cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr7	27147451	27148503	1053	*	32.579	0.039	108	HOXA6, HOXA-AS3, HOXA3, AC004080.5, AC004080.6	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr6	1614774	1615048	275	*	32.561	0.145	109		cpg_islands, intergenic
chr1	50415191	50421700	6510	*	32.509	0.033	110	DMRTA2	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, intergenic, introns, promoters
chr15	76337073	76338178	1106	*	32.497	0.207	111	ISL2	cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr9	130659193	130666863	7671	*	32.479	0.011	112	PRDM12	5UTRs, cpg_islands, exons, firstexons, intergenic, introns, promoters
chr15	45111086	45115513	4428	*	32.374	0.022	113	DUOX2, DUOXA2	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr12	53994041	54001065	7025	*	32.326	-0.022	114	HOXC6, HOXC9, HOXC-AS1, HOXC-AS2, HOXC5	5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, lncrna_gencode, promoters
chr4	13522339	13523262	924	*	32.306	0.013	115		cpg_islands, cpg_shores, intergenic
chr15	67819854	67830120	10267	*	32.304	0.031	116	SKOR1	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr4	4864096	4873426	9331	*	32.281	0.011	117		cpg_islands, cpg_shores, intergenic
chr2	218992166	218994732	2567	*	32.106	0.016	118	CRYBA2	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr7	27198057	27202086	4030	*	32.099	0.011	119	HOXA13, HOTTIP	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr10	117131277	117134966	3690	*	32.08	0.033	120	VAX1	3UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, introns
chr7	27141982	27144197	2216	*	31.93	-0.007	121	HOXA5, HOXA-AS3, HOXA3, AC004080.6	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr2	70896598	70901804	5207	*	31.902	0.036	122	VAX2, ATP6V1B1	5UTRs, cpg_islands, cpg_shelves, cpg_shores, exons, firstexons, introns, promoters
chr5	173228803	173229792	990	*	31.901	0.033	123		cpg_islands, cpg_shores
chr12	114667484	114667591	108	*	31.86	-0.094	124		cpg_islands, intergenic
chr7	27239360	27247038	7679	*	31.813	0.048	125	EVX1, EVX1-AS, AC004080.1	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr10	101121015	101121938	924	*	31.805	0.015	126	TLX1NB	cpg_shelves, cpg_shores, introns, lncrna_gencode
chr1	228006219	228008940	2722	*	31.722	-0.007	127	WNT3A	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr8	96157142	96161928	4787	*	31.717	0.007	128	GDF6	5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, promoters
chr5	135029301	135029429	129	*	31.658	0.286	129	PITX1	cpg_islands, exons, introns
chr20	22581759	22587162	5404	*	31.572	0.044	130	FOXA2	3UTRs, 5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, promoters
chr7	27202293	27206253	3961	*	31.513	0.068	131	HOTTIP	cpg_islands, cpg_shelves, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr14	60641211	60643804	2594	*	31.424	0.068	132	SIX1, SALRNA1	3UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, intergenic, introns, lncrna_gencode
chr1	47417142	47417208	67	*	31.404	0.076	133	FOXE3	cpg_islands, exons, firstexons
chr2	113276900	113277900	1001	*	31.354	0.166	134	PAX8	cpg_islands, cpg_shores, introns
chr2	70907069	70908053	985	*	31.263	0.073	135	ATP6V1B1, VAX2	cpg_islands, cpg_shores, introns
chr10	100729027	100731553	2527	*	31.107	0.01	136		cpg_islands, cpg_shores, enhancers_fantom, intergenic
chr4	8854185	8864235	10051	*	31.079	0.022	137	HMX1, AC116612.1	cpg_islands, cpg_shelves, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr2	176171635	176172941	1307	*	30.86	0.193	138	HOXD3, HAGLR	3UTRs, cpg_islands, cpg_shores, exons, introns, lncrna_gencode
chr2	222293453	222308566	15114	*	30.737	0.048	139	PAX3, CCDC140	3UTRs, 5UTRs, cpg_islands, cpg_shelves, cpg_shores, enhancers_fantom, exons, firstexons, intergenic, introns, promoters
chr17	48541604	48542528	925	*	30.682	0.051	140		cpg_islands, cpg_shores, exons, introns
chr5	73298323	73302219	3897	*	30.681	0.044	141		cpg_islands, cpg_shores, intergenic
chr20	62474404	62477004	2601	*	30.61	0	142	GATA5	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr12	53967320	53969027	1708	*	30.536	-0.021	143	HOTAIR	cpg_shelves, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr4	13532601	13542610	10010	*	30.493	0.058	144	NKX3-2, LINC01097	3UTRs, cpg_islands, cpg_shelves, cpg_shores, exons, firstexons, intergenic, introns, lncrna_gencode, promoters
chr14	36516703	36523231	6529	*	30.352	0.029	145	NKX2-1, SFTA3, NKX2-1-AS1, AL132857.1	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr12	54008683	54009719	1037	*	30.334	0.004	146	HOXC8, HOXC5, HOXC6	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr2	19353135	19353945	811	*	30.33	0.07	147	OSR1	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns
chr9	97857744	97857844	101	*	30.253	0.44	148		cpg_islands
chr22	19765461	19767718	2258	*	30.248	-0.003	149	TBX1	3UTRs, cpg_islands, cpg_shores, exons, introns
chr14	36653859	36658835	4977	*	30.246	0.038	150	PAX9, LOC105370455, AL079303.1, AL132857.1	5UTRs, cpg_islands, cpg_shelves, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr18	22163950	22172358	8409	*	30.24	0.046	151	GATA6, GATA6-AS1	5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, intergenic, introns, lncrna_gencode, promoters
chr5	93588654	93588746	93	*	30.15	0.376	152	NR2F1	cpg_islands, introns
chr10	75399491	75399532	42	*	30.115	0.114	153	ZNF503, AC010997.3	cpg_islands, exons, introns, lncrna_gencode
chr2	161428066	161428153	88	*	30.047	0.17	154	SLC4A10, AC009487.3	cpg_islands, cpg_shores, introns, lncrna_gencode
chr7	27183003	27185789	2787	*	30.041	0.016	155	HOXA11, HOXA11-AS	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr9	136198288	136200097	1810	*	29.925	0.012	156	LHX3	cpg_islands, cpg_shores, exons, introns
chr6	108116909	108119709	2801	*	29.907	0.014	157	OSTM1	cpg_islands, cpg_shores, enhancers_fantom, introns
chr12	53930834	53931328	495	*	29.874	0.081	158		cpg_shelves, intergenic
chr7	155462424	155462681	258	*	29.705	0.233	159	EN2	cpg_islands, cpg_shores, exons
chr4	173527089	173532253	5165	*	29.52	0.055	160	HAND2, HAND2-AS1	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr20	62477995	62478415	421	*	29.498	-0.08	161	AL499627.2	cpg_shores, exons, firstexons, lncrna_gencode
chr14	36580762	36583003	2242	*	29.484	0.061	162	NKX2-8, AL132857.1	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr2	45001036	45001797	762	*	29.444	0.018	163		cpg_islands, cpg_shores, intergenic
chr12	53952685	53953512	828	*	29.366	-0.003	164		cpg_islands, cpg_shores
chr1	3072583	3074389	1807	*	29.332	0.02	165	PRDM16	cpg_islands, cpg_shores, enhancers_fantom, introns
chr17	48610044	48629650	19607	*	29.323	0.021	166	HOXB8, HOXB9, HOXB7, HOXB-AS4	3UTRs, 5UTRs, cpg_islands, cpg_shelves, cpg_shores, enhancers_fantom, exons, firstexons, introns, lncrna_gencode, promoters
chr4	13523348	13525005	1658	*	29.284	0.108	167		cpg_islands, cpg_shores, intergenic
chr7	157007588	157008241	654	*	29.239	0.015	168	MNX1	cpg_shores, enhancers_fantom, exons, firstexons, introns
chr2	176100779	176101426	648	*	29.192	0.151	169	HOXD12	3UTRs, cpg_islands, cpg_shores, exons
chr12	54032557	54034439	1883	*	29.191	0	170	HOXC5, MIR615, HOXC4, AC012531.2	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr10	117136931	117141715	4785	*	29.034	0.052	171	VAX1	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr11	124760237	124760616	380	*	29.003	0.024	172	ESAM, ESAM-AS1, AP000866.2	cpg_shores, introns, lncrna_gencode
chr20	40682533	40684042	1510	*	28.994	-0.109	173		cpg_islands, cpg_shores, enhancers_fantom, intergenic
chr22	45972500	45972796	297	*	28.937	0.227	174	WNT7B	5UTRs, cpg_islands, exons, firstexons, introns, promoters
chr13	27966140	27971191	5052	*	28.93	0.025	175	CDX2	5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, promoters
chr12	114400882	114407097	6216	*	28.922	0.033	176	TBX5	5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, promoters
chr17	36934943	36942094	7152	*	28.908	0.017	177	LHX1, LHX1-DT, AC243773.1	5UTRs, cpg_islands, enhancers_fantom, exons, firstexons, introns, lncrna_gencode, promoters
chr4	80201833	80203559	1727	*	28.895	0.015	178	PRDM8	3UTRs, cpg_islands, cpg_shores, exons, introns
chr16	67163164	67165040	1877	*	28.892	0.004	179	FBXL8, HSF4	3UTRs, 5UTRs, cpg_islands, exons, firstexons, introns, promoters
chr9	975437	977801	2365	*	28.878	0.035	180	DMRT3	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr4	41744594	41753397	8804	*	28.87	0.07	181	PHOX2B, PHOX2B-AS1, AC105389.1, AC105389.3	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr4	8869826	8879036	9211	*	28.861	0.025	182	HMX1	5UTRs, cpg_inter, cpg_islands, cpg_shelves, cpg_shores, exons, firstexons, intergenic, introns, promoters
chr11	31802454	31806527	4074	*	28.86	0.105	183	PAX6	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr17	49964002	49964070	69	*	28.754	0.072	184		cpg_islands
chr7	27250248	27253088	2841	*	28.747	0.046	185		cpg_islands, cpg_shores, exons, intergenic
chr21	36707157	36710882	3726	*	28.715	0.038	186	SIM2	cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr6	149937916	149939484	1569	*	28.701	-0.014	187		cpg_islands, cpg_shores, enhancers_fantom
chr12	53991006	53991345	340	*	28.698	-0.148	188	HOXC5, HOXC6, MIR196A2	cpg_shelves, enhancers_fantom, introns, promoters
chr1	197908655	197913788	5134	*	28.687	0.001	189	LHX9	5UTRs, cpg_islands, cpg_shelves, cpg_shores, exons, firstexons, introns, promoters
chr20	21699420	21710492	11073	*	28.675	0.051	190	PAX1, LINC01726	5UTRs, cpg_islands, cpg_shelves, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr16	86492762	86511710	18949	*	28.646	0.018	191	FOXF1, FENDRR	5UTRs, cpg_islands, cpg_shelves, cpg_shores, enhancers_fantom, exons, firstexons, introns, lncrna_gencode, promoters
chr1	110083599	110085030	1432	*	28.54	0.002	192	LINC01397	cpg_islands, cpg_shores, enhancers_fantom, exons, introns, lncrna_gencode
chr4	13527231	13530239	3009	*	28.539	0.033	193	LINC01097	cpg_islands, cpg_shores, exons, introns, lncrna_gencode
chr17	37741098	37745684	4587	*	28.511	0.017	194	HNF1B	5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, promoters
chr5	73435815	73436221	407	*	28.476	0.228	195		cpg_islands, cpg_shores, intergenic
chr17	48563254	48564894	1641	*	28.342	0.025	196	HOXB-AS3, HOXB3	cpg_islands, cpg_shores, introns, lncrna_gencode
chr1	47432193	47434909	2717	*	28.308	0.025	197	FOXD2-AS1	cpg_islands, cpg_shores, exons, firstexons, lncrna_gencode, promoters
chr3	129974351	129976078	1728	*	28.241	0.061	198	TRH	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr17	61461836	61463002	1167	*	28.198	0.003	199	TBX4, AC005901.1	cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode
chr17	48542617	48545011	2395	*	28.182	0.007	200	HOXB2, HOXB-AS1	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr16	56632186	56634141	1956	*	28.146	0.038	201	MT1M	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr4	110617683	110619104	1422	*	28.137	0.07	202	PITX2	3UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr12	54106466	54107516	1051	*	28.107	-0.007	203	FLJ12825, FAM242C, AC023794.1	cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr11	13962441	13964825	2385	*	28.081	0.014	204	SPON1	5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, promoters
chr1	220886907	220896494	9588	*	28.047	0.075	205		cpg_islands, cpg_shores, intergenic
