ch,b,e,d,bl,ez1,ez2,su,pr
chr11,119546495,119549946,3451,0,0.6035580141563365,0.6030060304285462,0.7937321979593172,0.6667654141814
chr2,93641813,93643793,1980,0,0.6259192712600727,0.5649144670469793,0.8092713016703469,0.6667016799924662
chr16,35540198,35543133,2935,0,0.5693529830068828,0.5265250915932649,0.8815738184535872,0.6591506310179116
chr5,106456568,106459764,3196,0,0.6503308965556787,0.6389316107117786,0.6776037185105014,0.6556220752593195
chr4,114924635,114926318,1683,0,0.6707812866900049,0.6839527083002732,0.609075003540845,0.6546029995103744
chr2,181670295,181672137,1842,0,0.5917764297708213,0.5423068736694844,0.8170208816392931,0.6503680616931996
chr12,110277382,110279889,2507,0,0.6817570081330268,0.6315278872810891,0.6225779382102277,0.6452876112081145
chr13,31805925,31808949,3024,0,0.7255116122110603,0.72620929075989,0.4737956975157706,0.641838866828907
chr2,74752696,74753549,853,0,0.6452256657680074,0.6345067832491791,0.6408157494442639,0.6401827328204835
chr14,118234168,118237682,3514,0,0.7367031718937679,0.7670462567298694,0.4112086895661396,0.6383193727299256
chr2,180775259,180777378,2119,0,0.6392918636333542,0.58305453815921,0.6800766734105259,0.6341410250676968
chr3,88200215,88201286,1071,0,0.6415143415569632,0.5743268244829427,0.6847159585758089,0.6335190415385716
chr13,31629026,31630078,1052,0,0.6040764520244072,0.6021181038020955,0.6928780801191026,0.6330242119818684
chr3,93443123,93448332,5209,0,0.5555687110228461,0.5189807708981836,0.8240047971813421,0.6328514263674573
chr13,55825193,55827800,2607,0,0.6029577285665529,0.6120999130716489,0.6818754555901911,0.6323110324094644
chr5,72580349,72581139,790,0,0.5851702336431572,0.6307849006921045,0.6733215289618122,0.6297588877656913
chr13,55827909,55832124,4215,0,0.5751501647330471,0.5790307230414392,0.7295742797589484,0.6279183891778116
chr7,130935696,130937277,1581,0,0.504419811674412,0.4940317260336871,0.8823993641442532,0.6269503006174508
chr9,40877448,40879472,2024,0,0.5927930495852738,0.5783725472943272,0.6986971852572985,0.6232875940456332
chr2,38350349,38353015,2666,0,0.6340558812893075,0.5917431040091277,0.6439325584943189,0.6232438479309179
chr5,143252887,143255515,2628,0,0.5813948738653872,0.564386364009934,0.7118634592937905,0.6192148990563705
chr15,85576085,85578442,2357,0,0.5733736650806235,0.5430596813489186,0.7352663994806568,0.617233248636733
chr19,37697232,37699341,2109,0,0.5808663450213575,0.5742974210400401,0.6941109640433017,0.6164249100348997
chr18,76858549,76860937,2388,0,0.6204333834769344,0.5919113780981217,0.6356177353361042,0.6159874989703868
chr11,82386727,82390289,3562,0,0.5026034094191643,0.5727453439226871,0.7678250363811298,0.6143912632409937
chr1,87153379,87156541,3162,0,0.5638466396097367,0.5881383577111237,0.6894965116543637,0.613827169658408
chr6,52231678,52235133,3455,0,0.6138093123574886,0.6144218438995366,0.6107070344327475,0.6129793968965909
chr11,104131641,104134036,2395,0,0.5653249061029174,0.5414324719829591,0.7321322277561384,0.6129632019473382
chr8,125909737,125911412,1675,0,0.6080015810622243,0.5938508021627718,0.6298051564132416,0.610552513212746
chr8,69880909,69883334,2425,0,0.6616134944326991,0.6109142407340077,0.5552818315227149,0.6092698555631406
chr10,114800326,114802778,2452,0,0.5262404526541673,0.5315285740234081,0.7644533424372827,0.6074074563716194
chr1,4491375,4493955,2580,0,0.5644244360205651,0.5596018444253308,0.6973213643434458,0.6071158815964472
chr2,25577077,25578377,1300,0,0.628816641825482,0.5900413318625645,0.5989239246820082,0.6059272994566849
chr12,111445467,111446399,932,0,0.5592698735917948,0.555120850852883,0.70194389611614,0.6054448735202725
chr15,98790520,98793074,2554,0,0.5846731806028684,0.512274820942473,0.7162418657237404,0.6043966224230273
chr14,67230909,67237776,6867,0,0.6731583845127685,0.6406000623411422,0.49718989310360173,0.6036494466525042
chr13,56752402,56754136,1734,0,0.5676654506101383,0.5457804388478955,0.6946753319423928,0.6027070738001422
chr2,33629956,33632784,2828,0,0.6134333956847645,0.5773472969518444,0.6147167875414307,0.6018324933926799
chr8,104170411,104171316,905,0,0.7849443734644914,0.6334377864395171,0.38385778109647317,0.6007466470001606
chr5,119803335,119804968,1633,0,0.5953097521166454,0.5809762514140867,0.6184780247794804,0.5982546761034042
chr4,44702860,44705001,2141,0,0.5202431849543584,0.5233610736575562,0.7456584911709355,0.5964209165942834
chr6,52170241,52170792,551,0,0.5558024506457125,0.6513779069126362,0.5795685229316171,0.595582960163322
chr12,111274004,111276078,2074,0,0.5736860166883615,0.5614043303847696,0.6513010941788372,0.5954638137506562
chr1,86045671,86046675,1004,0,0.632049376351479,0.6803038189399627,0.4723969381588742,0.5949167111501052
chr14,63942335,63944340,2005,0,0.5755864331923153,0.5781395812720405,0.6163915247966166,0.5900391797536574
chr5,76856260,76858669,2409,0,0.5764815053754189,0.5536054878525094,0.638662325134863,0.5895831061209305
chr11,33199928,33204729,4801,0,0.5913604584872898,0.5369980014726387,0.6383119925497752,0.5888901508365678
chr2,25578521,25578769,248,0,0.6988105900505046,0.6507876829710153,0.4147112122753487,0.5881031617656228
chr5,35278651,35281123,2472,0,0.577305773037967,0.5706781861585795,0.6139341435228383,0.587306034239795
chr2,74655164,74660129,4965,0,0.5885561001419922,0.5693938451835486,0.6019715320989234,0.5866404924748214
chr8,125053574,125054970,1396,0,0.6237773614896928,0.6061153950846984,0.5299346840051067,0.5866091468598326
chr12,109052288,109054235,1947,0,0.646187639215121,0.6527136305384788,0.4602293827233114,0.5863768841589704
chr9,31912457,31915636,3179,0,0.5307094393974381,0.5307468175655108,0.696979536251332,0.5861452644047603
chr2,147083383,147086036,2653,0,0.7118197807599675,0.6661377904197322,0.37820345363087227,0.5853870082701907
chr12,73043939,73047120,3181,0,0.587941968162181,0.5868994101086831,0.5807636508404417,0.5852016763704353
chr11,84519565,84520591,1026,0,0.5559297914647929,0.5562809308678519,0.6432297242994085,0.5851468155440178
chr2,131561035,131563330,2295,0,0.5661152821834999,0.5581899853457386,0.6298553100037603,0.5847201925109996
chr16,18585571,18589038,3467,0,0.6283826426563001,0.6070821355661189,0.5184322514381314,0.5846323432201834
chr11,118908412,118910135,1723,0,0.6003616976623649,0.5774296775756039,0.5728701601606813,0.5835538451328833
chr6,52215264,52218375,3111,0,0.5894512582853751,0.5787233643101795,0.5824441635649589,0.5835395953868379
chr19,45229276,45237269,7993,0,0.5848874766931924,0.5873867829393246,0.5740073642755743,0.5820938746360305
chr13,55835613,55837177,1564,0,0.6108930280371466,0.5977228521241197,0.5371041817927584,0.5819066873180082
chr9,40876202,40876661,459,0,0.6088816031533786,0.6331921212840084,0.4999608449303786,0.5806781897892552
chr2,26201958,26203306,1348,0,0.5217436194217457,0.5302324716036738,0.6878387027425698,0.5799382645893297
chr8,111889819,111890982,1163,0,0.5859948510638603,0.6279303689016292,0.5187403978692499,0.577555205944913
chr13,56250764,56252945,2181,0,0.5349425264761379,0.5226429491981079,0.6735328547171855,0.5770394434638104
chr11,59135192,59136446,1254,0,0.5690070643187013,0.5341912239171027,0.6277819284408751,0.576993405558893
chr19,44754804,44761445,6641,0,0.5299879710340404,0.5179806698419133,0.6814522653879761,0.5764736354213099
chr10,60685947,60687895,1948,0,0.5595959451414151,0.49512889751322303,0.673482125388436,0.5760689893476914
chr11,95119868,95121911,2043,0,0.5792470937134703,0.5334000609267986,0.6146894364144889,0.5757788636849193
chr2,148043876,148047126,3250,0,0.5476305628830084,0.5504747169783208,0.6287937066620992,0.5756329955078094
chr3,102011332,102013157,1825,0,0.568352864928008,0.5484760724258804,0.6016059719369646,0.5728116364302843
chr8,91803905,91807107,3202,0,0.6325916839300448,0.6285854960953638,0.4515150328466475,0.5708974042906855
chr3,83126885,83129417,2532,0,0.49853383891532843,0.5148432427999327,0.6954018212770763,0.5695929676641124
chr5,35387887,35389565,1678,0,0.5905728220087557,0.5892410191471034,0.5254628299104599,0.5684255570221063
chr13,48662316,48666538,4222,0,0.5223917413792613,0.5643995536136287,0.6183960054352828,0.568395766809391
chr6,87730401,87731957,1556,0,0.5129050918549656,0.528940480639125,0.6629107676962528,0.5682521133967812
chr12,56531967,56537784,5817,0,0.576713239214176,0.5250450837568558,0.6001213614101438,0.5672932281270585
chr19,54046665,54047677,1012,0,0.6433575168507791,0.6918769074425494,0.36287869627414915,0.5660377068558259
chr9,55543156,55546939,3783,0,0.5166569386410451,0.4933140636812658,0.6878824335096425,0.5659511452773178
chr13,98353671,98356830,3159,0,0.6524244311867119,0.6301423607194838,0.410370233185418,0.5643123416972046
chr2,61804937,61806013,1076,0,0.5556283012892919,0.5877588645943926,0.5484892909989247,0.5639588189608697
chr3,154327888,154331104,3216,0,0.5684288086376188,0.5431676067311183,0.5788343882268623,0.5634769345318665
chr8,14095432,14097441,2009,0,0.5640049550169786,0.532315187231827,0.5936512711046698,0.5633238044511585
chr11,85888236,85888879,643,0,0.569047207795024,0.5190440344328188,0.5995262364726865,0.5625391595668431
chr2,113757280,113759234,1954,0,0.5196794127941425,0.4944790169480252,0.672026332144598,0.5620615872955885
chr8,84771864,84772562,698,0,0.6771231749487483,0.6647489235651847,0.34345532742418644,0.5617758086460398
chr5,35396730,35398676,1946,0,0.580179235071948,0.5641388047808714,0.5397178595685571,0.5613452998071256
chr6,52315872,52317408,1536,0,0.616693360436083,0.6195443116731724,0.44625149133218256,0.560829721147146
chr7,143445198,143446458,1260,0,0.5745838348138311,0.5365463241213312,0.5707794239004106,0.5606365276118576
chr17,26849519,26851385,1866,0,0.5228645229961626,0.5205506975987414,0.6376956153835838,0.560370278659496
chr11,84521936,84527788,5852,0,0.5402549376394268,0.5178828863686535,0.6227899043474373,0.5603092427851726
chr7,19522931,19524693,1762,0,0.5223642450099485,0.4896714827788335,0.668315606189532,0.5601171113261046
chr7,63757256,63759089,1833,0,0.6455440890230143,0.6278453293388457,0.4023358366905016,0.5585750850174539
chr2,19444627,19446988,2361,0,0.5060056180302532,0.4673482361671965,0.6977995875162335,0.5570511472378944
chr7,35117762,35120900,3138,0,0.5788899013874276,0.5385067576527937,0.550399433666101,0.5559320309021074
chr6,83068155,83071695,3540,0,0.510699772445457,0.5396557248668002,0.6153152164576069,0.5552235712566214
chr9,55539561,55542972,3411,0,0.5864676939676553,0.5512606382300989,0.5277110683608769,0.555146466852877
chr14,63240535,63241787,1252,0,0.705953528689389,0.6340603898701676,0.3252094239170916,0.555074447492216
chr7,140047766,140050057,2291,0,0.5327671703969679,0.5201730081218191,0.611276453859041,0.554738877459276
chr13,31810532,31812113,1581,0,0.5740737247631456,0.6139077767497335,0.474164192645731,0.5540485647195367
chr17,27511861,27514022,2161,0,0.5790822420031954,0.5325140343227661,0.5490436164330805,0.5535466309196807
chr4,46342411,46345820,3409,0,0.6111463204580466,0.5922574546767323,0.45440841818897354,0.5526040644412508
chr5,111416503,111420751,4248,0,0.5052719071962747,0.45097641726678517,0.701190016693216,0.552479447052092
chr6,88193539,88195083,1544,0,0.5719688642932282,0.5743663927804181,0.5075516704414197,0.551295642505022
chr2,180333623,180335120,1497,0,0.482330314101293,0.48023581231487694,0.6904359851883635,0.5510007038681778
chr12,80757414,80759613,2199,0,0.5589286974671966,0.5388045415851513,0.5532745377832837,0.5503359256118773
chr5,147303921,147308079,4158,0,0.5089028006779517,0.4868881513076386,0.6550661427626635,0.550285698249418
chr19,46317555,46318316,761,0,0.666252435704843,0.6231221634311056,0.36004343072182726,0.549806009952592
chr3,107458210,107460463,2253,0,0.4812071360719724,0.4756586665049128,0.6923369795659681,0.5497342607142844
chr2,164167657,164168820,1163,0,0.5551588910681965,0.514135518357783,0.5794958671034396,0.5495967588431397
chr16,91269302,91271719,2417,0,0.4646329909829203,0.4501111209616638,0.7275048900366325,0.5474163339937389
chr2,160911417,160912694,1277,0,0.5829863694689025,0.5722174148256315,0.4863523884957735,0.5471853909301024
chr2,31634820,31642314,7494,0,0.5075868313124186,0.4875554377446091,0.6453520921913181,0.5468314537494486
chr3,107582751,107583613,862,0,0.5837706332510898,0.5715248764910005,0.48367500843328876,0.5463235060584597
chr2,36102279,36105869,3590,0,0.5070915882519426,0.48836737638422617,0.6430525397280511,0.5461705014547399
chr8,108794210,108794958,748,0,0.6193332384512114,0.5688845460908218,0.44889778940669256,0.545705191316242
chr14,34818789,34821470,2681,0,0.5691494662693831,0.5597973498055461,0.5072160401074415,0.5453876187274569
chr7,137309054,137315812,6758,0,0.5633267989750831,0.5445765181836366,0.5231452057556991,0.5436828409714729
chr19,45741406,45743487,2081,0,0.5572883335978791,0.5411712051349278,0.5317500955125452,0.5434032114151174
chr2,74740330,74740843,513,0,0.5945204109811727,0.5609595355968761,0.4739476316662971,0.5431425260814486
chr13,94885183,94886008,825,0,0.5936769507928604,0.566856024773078,0.4682345439684845,0.5429225065114743
chr8,121089115,121090118,1003,0,0.6404324918041226,0.6448728579914963,0.3433193638236573,0.5428749045397587
chr19,23892675,23893683,1008,0,0.5947487664473864,0.535512746238559,0.49528986364497374,0.541850458776973
chr19,59168984,59172315,3331,0,0.5047060797195886,0.5014445541180873,0.6187169315899035,0.5416225218091931
chr19,59457872,59461207,3335,0,0.5461397480664298,0.5527608506316111,0.5248783968611699,0.5412596651864036
chr11,119044924,119045221,297,0,0.5864728104008392,0.6028291761074906,0.43362089239959695,0.540974292969309
chr9,87729250,87731770,2520,0,0.5658092582709848,0.5519214499794222,0.5043042127299212,0.5406783069934428
chr6,85186564,85189035,2471,0,0.567183376427021,0.5306803172139616,0.5239089421298961,0.540590878590293
chr4,152125513,152126843,1330,0,0.5437257011159006,0.5360442514844868,0.5408564056853672,0.5402087860952515
chr12,111423383,111424172,789,0,0.5145064182015804,0.5086135484106967,0.5956019639175131,0.5395739768432635
chr16,17796972,17798786,1814,0,0.5800315323163229,0.5601710142333695,0.47789150739743375,0.539364684649042
chr12,67220271,67223022,2751,0,0.4824333216109735,0.4611628891842239,0.673877811566974,0.5391580074540571
chr2,146220412,146224192,3780,0,0.57846227283957,0.5744373241793341,0.46364390132081196,0.5388478327799054
chr17,43629142,43630610,1468,0,0.5545490168095782,0.49875235491825737,0.5617715225353711,0.5383576314210688
chr2,93646865,93647483,618,0,0.48086530832759056,0.5356764072915521,0.5983315123559064,0.5382910759916831
chr4,114907023,114910395,3372,0,0.6078022579978103,0.5699798911872387,0.433876071500626,0.537219406895225
chr14,69174440,69175429,989,0,0.6324251826509296,0.5479230710218961,0.4277004342491175,0.5360162293073144
chr8,87469768,87473801,4033,0,0.5637798917166738,0.5211793900763839,0.5225358261871154,0.5358317026600578
chr8,115705628,115708523,2895,0,0.6675904377428111,0.6094578179517354,0.32759321650961887,0.5348804907347219
chr7,118489793,118492232,2439,0,0.506531192386818,0.4939364215375656,0.6031993309346231,0.5345556482863355
chr13,34651382,34653664,2282,0,0.45002743946658635,0.4650582026895151,0.68075922489775,0.5319482890179504
chr19,54044425,54046595,2170,0,0.49827562508657103,0.46417819942643174,0.6333112290671561,0.5319216845267196
chr17,85691920,85692789,869,0,0.4968079206082756,0.542645503947544,0.5562863692282501,0.5319132645946899
chr1,120340150,120343019,2869,0,0.5134788839332519,0.47958788841140537,0.6025774234501206,0.5318813985982592
chr5,67606972,67609228,2256,0,0.4936270873955968,0.46970503823416776,0.6322528150424429,0.5318616468907358
chr2,133551778,133553546,1768,0,0.5222152753596486,0.4637624064222924,0.6089255318772975,0.5316344045530795
chr2,31845388,31846925,1537,0,0.5634640793615765,0.5393573109109184,0.49028891422179605,0.5310367681647636
chr2,33635418,33643432,8014,0,0.5423910084780384,0.5281337889863083,0.5209006052665236,0.5304751342436235
chr4,21685349,21686165,816,0,0.5843389566757863,0.5403309963469606,0.46509108762104934,0.5299203468812653
chr19,16870102,16876975,6873,0,0.48350674021543283,0.49844920373600443,0.6069401300487566,0.5296320246667313
chr5,107723173,107727202,4029,0,0.5158870329377535,0.49160418674435397,0.5812352565485652,0.5295754920768909
chr1,120601912,120604126,2214,0,0.6339383796233844,0.5762769676571939,0.37781532688585934,0.5293435580554792
chr9,95558808,95560864,2056,0,0.6052586343150194,0.5824311679804142,0.3992368014642727,0.5289755345865687
chr4,126734337,126736471,2134,0,0.5955826656042063,0.6039418872013416,0.3866887832329058,0.5287377786794846
chr10,42577966,42585699,7733,0,0.4964013418049515,0.5078537694442543,0.5818302748313027,0.5286951286935028
chr10,43020960,43022594,1634,0,0.531371845957665,0.5380498362346264,0.5143486404463591,0.5279234408795501
chr2,147364619,147366165,1546,0,0.5816866627325981,0.5507652149453087,0.4488817973961771,0.5271112250246947
chr1,136259596,136260913,1317,0,0.5778730054879236,0.583078164754761,0.41861015099268006,0.5265204404117882
chr2,29250092,29253847,3755,0,0.48113108828195744,0.44639375121527675,0.6508029939604695,0.5261092778192346
chr2,93954848,93957419,2571,0,0.5441799004382883,0.524405568400291,0.5048201983549414,0.5244685557311736
chr2,74678562,74684437,5875,0,0.5421600479475837,0.543333822909329,0.4866721465192599,0.5240553391253908
chr6,52202606,52204997,2391,0,0.49988217472851415,0.5351687336610429,0.5364531694980431,0.5238346926292
chr5,73013359,73014273,914,0,0.5221298846409329,0.4731695641316777,0.5734961741210626,0.5229318742978911
chr10,80494292,80497411,3119,0,0.5886613713167209,0.5855886147802586,0.390713896494058,0.5216546275303459
chr13,78194615,78195892,1277,0,0.5364539055024574,0.4978442525888561,0.5257467647490057,0.5200149742801065
chr13,38344589,38347589,3000,0,0.5106219906952703,0.522120197059407,0.5272872034633244,0.5200097970726673
chr12,109452935,109454040,1105,0,0.5725451730489388,0.5550492732829596,0.4316116362578226,0.5197353608632403
chr19,53676333,53677770,1437,0,0.5042000971918337,0.4772552917896412,0.5774663189883187,0.5196405693232645
chr3,123446592,123447623,1031,0,0.5102903137994536,0.48598223332287666,0.5613308490125669,0.5192011320449658
chr10,44002638,44004932,2294,0,0.47638184181841176,0.4569799795264309,0.6210426821071334,0.518134834483992
chr5,57714059,57720397,6338,0,0.4420060729806359,0.43094296272614324,0.6802644174737686,0.5177378177268492
chr6,52224142,52227312,3170,0,0.5509906171799502,0.5296617964694598,0.47154806548169054,0.5174001597103669
chr13,72631026,72632367,1341,0,0.49438722117347866,0.5083933686265801,0.5493500748592367,0.5173768882197652
chr2,105125150,105128663,3513,0,0.5230674903340851,0.5138806194105507,0.5149434207062248,0.5172971768169535
chr8,121073236,121073976,740,0,0.545465262184427,0.5679892632513991,0.437568828663275,0.5170077846997004
chr11,119058002,119058816,814,0,0.5273618474818608,0.5225919264135513,0.49833707320733284,0.5160969490342483
chr2,84871613,84872753,1140,0,0.5814449840512165,0.5550129113084583,0.4118315149110257,0.5160964700902335
chr2,38347069,38349295,2226,0,0.47521250191181325,0.47965975403408406,0.5908309103212008,0.5152343887556994
chr8,92363067,92363666,599,0,0.6239478210299749,0.6104631282754526,0.3112675705253958,0.5152261732769411
chr13,31557516,31560398,2882,0,0.5219085926249688,0.48708295342473307,0.5359013430672076,0.5149642963723031
chr4,135152110,135153379,1269,0,0.573910546933726,0.5762387078321973,0.3937390899678586,0.514629448244594
chr8,99415123,99416998,1875,0,0.5578166811026144,0.5394679516146755,0.4457101262028039,0.5143315863066978
chr12,99964211,99966628,2417,0,0.48669704046273504,0.4628311757381624,0.591426364262075,0.5136515268209908
chr6,52251695,52254509,2814,0,0.5141205205808069,0.49495799146370484,0.5287686393774359,0.5126157171406492
chr18,80707515,80709071,1556,0,0.49290840319499984,0.5178283502408485,0.5268789167990379,0.5125385567449622
chr9,78442102,78443636,1534,0,0.4631077301847313,0.4757635428513535,0.5970228037219854,0.51196469225269
chr17,44733776,44738557,4781,0,0.4850614375840678,0.48418125613791974,0.5652670737656916,0.5115032558292264
chr11,119088428,119091923,3495,0,0.4743765217021639,0.4922943914813808,0.5669152604476677,0.5111953912104041
chr5,29473634,29474874,1240,0,0.5603456114956348,0.5624652332210124,0.4101328534708442,0.5109812327291637
chr5,4756045,4758794,2749,0,0.4904976364224846,0.43962049380736584,0.6019876459658743,0.5107019253985748
chr12,8297774,8299033,1259,0,0.6429335463809525,0.6272878479926882,0.2589064640982884,0.5097092861573097
chr5,28457620,28460925,3305,0,0.5169905902877752,0.4778834565081842,0.5339843718566792,0.5096194728842128
chr2,74696235,74701108,4873,0,0.5111623079484207,0.48071822121379965,0.5360776078438028,0.5093193790020077
chr4,124656447,124660196,3749,0,0.4631983393981257,0.4512357398565865,0.612347826528097,0.5089273019276032
chr13,112993119,112994769,1650,0,0.45259454786201736,0.4385590817625598,0.6350728143768684,0.5087421480004819
chr1,135918401,135919547,1146,0,0.41473567178124005,0.43411472549477903,0.6769586015751838,0.5086029996170677
chr18,78047147,78047964,817,0,0.5364691763105388,0.5209129025766515,0.4676475365848796,0.5083432051573565
chr3,116251294,116253391,2097,0,0.5332083503364393,0.46448477461272913,0.5272438838463871,0.5083123362651852
chr12,14149219,14150643,1424,0,0.4509782353692407,0.4371534140722121,0.6340598220708307,0.5073971571707612
chr11,53463323,53464214,891,0,0.49313017572909557,0.49425672073727905,0.5337131766718012,0.5070333577127252
chr7,81991677,81993087,1410,0,0.5771246917490244,0.5394701831514105,0.4039391966674333,0.5068446905226227
chr6,52174993,52178216,3223,0,0.5546489964169974,0.5518006705863068,0.4098325990433722,0.5054274220155588
chr14,60378106,60379353,1247,0,0.551543440192883,0.5382176776224556,0.42611822508033814,0.5052931142985589
chr2,163375634,163376503,869,0,0.459923018390082,0.5247683364487894,0.5304927553812795,0.5050613700733836
chr5,37816917,37817725,808,0,0.4704848426359879,0.4986299970009643,0.5460180249224078,0.5050442881864533
chr2,74675095,74675965,870,0,0.5659970716279078,0.5287199401239456,0.41747604897229984,0.5040643535747177
chr1,184731440,184733700,2260,0,0.5082250424033724,0.5156385255304115,0.4880275765475351,0.5039637148271063
chr15,72545717,72549754,4037,0,0.46364993458620113,0.47471696208518976,0.5709686479866031,0.5031118482193313
chr6,72233645,72236079,2434,0,0.4644147458153354,0.4617667351993276,0.5824139602334294,0.5028651470826975
chr11,76672554,76673276,722,0,0.5013715775738926,0.4720390322956705,0.5343149926540837,0.5025752008412155
chr8,26976226,26980820,4594,0,0.4628517337559775,0.46407893324539395,0.5798918069661365,0.5022741579891693
chr13,31623813,31627655,3842,0,0.5044355706981484,0.5018836639703955,0.5003373788665304,0.5022188711783581
chr3,88214113,88216238,2125,0,0.4466282513549809,0.4675460411053864,0.5919567452504618,0.502043679236943
chr5,75075052,75077449,2397,0,0.5616517622382496,0.5458465636771506,0.39779009482408173,0.5017628069131607
chr1,75421665,75423545,1880,0,0.46152773294885585,0.41411913650864796,0.6294181419173147,0.5016883371249395
chr14,12342611,12347115,4504,0,0.45780516449143416,0.4587875723908736,0.5858838544476657,0.5008255304433245
chr6,84583114,84589530,6416,0,0.4605836919440642,0.4435685453415128,0.5952939193484241,0.49981538554466703
chr18,42393992,42396371,2379,0,0.44543010165236635,0.4194525698737136,0.6343003104570476,0.4997276606610425
chr3,129202105,129205598,3493,0,0.4631165678574802,0.4580926046538307,0.5779615047803668,0.49972355909722593
chr7,131551129,131557427,6298,0,0.4834041196022635,0.4557136151874315,0.5597653907539731,0.499627708514556
chr6,52243009,52247210,4201,0,0.4682031996261141,0.44955445006402805,0.5807797469355442,0.49951246554189543
chr13,48668348,48669718,1370,0,0.5339361627853687,0.5061808587478572,0.4576822757383024,0.4992664324238427
chr9,64385286,64387458,2172,0,0.4476710926561359,0.44553493227256286,0.603831380041951,0.49901246832354995
chr1,166308718,166309631,913,0,0.5089568015946476,0.49528846068843974,0.49275975022435237,0.4990016708358132
chr3,18054010,18056343,2333,0,0.5494289606950834,0.5267704030419543,0.41880593051850573,0.4983350980851811
chr2,74734656,74736670,2014,0,0.5406145577832745,0.5144359195848597,0.43753286095402844,0.49752777944072085
