probeID,CpG_chrm,CpG_beg,b,ch,ez,su,pr
cg20630207,chr19,14529422.0,14529422,chr19,0.0007200000109151006,0.0007600000244565308,0.0007400000176858157
cg03205495,chr19,14529436.0,14529436,chr19,0.0007200000109151006,0.0007600000244565308,0.0007400000176858157
cg12184049,chr19,633769.0,633769,chr19,0.0010999999940395355,0.00039000000106170774,0.0007449999975506216
cg18480310,chr19,38930674.0,38930674,chr19,0.0007699999841861427,0.0007200000109151006,0.0007449999975506216
cg10433231,chr8,30083325.0,30083325,chr8,0.0013200000394135714,0.00019999999494757503,0.0007600000171805732
cg06826431,chr17,48048135.0,48048135,chr17,0.0012100000167265534,0.0003499999875202775,0.0007800000021234155
cg22234827,chr1,154974639.0,154974639,chr1,0.0015699999639764428,9.999999747378752e-06,0.0007899999818619108
cg20798412,chr7,151028222.0,151028222,chr7,0.0015699999639764428,1.9999999494757503e-05,0.0007949999817356002
cg01939444,chr22,38705834.0,38705834,chr22,0.0015699999639764428,1.9999999494757503e-05,0.0007949999817356002
cg01311559,chr14,74493426.0,74493426,chr14,0.0014700000174343586,0.00011999999696854502,0.0007950000072014518
cg14237674,chr17,45161802.0,45161802,chr17,0.0010999999940395355,0.0005099999834783375,0.0008049999887589365
cg26585202,chr7,77122465.0,77122465,chr7,0.001610000035725534,9.999999747378752e-06,0.0008100000177364564
cg15763172,chr7,44848264.0,44848264,chr7,0.0015699999639764428,7.000000186963007e-05,0.0008199999829230364
cg13457403,chr21,42893290.0,42893290,chr21,0.0004900000058114529,0.0011500000255182385,0.0008200000156648457
cg01680773,chr14,74493420.0,74493420,chr14,0.0015200000489130616,0.00011999999696854502,0.0008200000229408033
cg22692169,chr15,100602351.0,100602351,chr15,0.001610000035725534,3.9999998989515007e-05,0.0008250000173575245
cg04311227,chr1,32394457.0,32394457,chr1,0.0016700000269338489,0.0,0.0008350000134669244
cg06358433,chr11,86244766.0,86244766,chr11,0.0016700000269338489,9.999999747378752e-06,0.0008400000133406138
cg13200990,chr14,74493403.0,74493403,chr14,0.0015699999639764428,0.00011999999696854502,0.0008449999804724939
cg02462912,chr2,197453537.0,197453537,chr2,0.00018000000272877514,0.001509999972768128,0.0008449999877484515
cg06470552,chr10,110567475.0,110567475,chr10,0.0007699999841861427,0.0009200000204145908,0.0008450000023003668
cg23850377,chr2,20051814.0,20051814,chr2,0.0016700000269338489,1.9999999494757503e-05,0.0008450000132143032
cg10358194,chr12,401521.0,401521,chr12,0.0015699999639764428,0.00013000000035390258,0.0008499999821651727
cg13085065,chr19,41264035.0,41264035,chr19,0.0015699999639764428,0.00013000000035390258,0.0008499999821651727
cg25706390,chr19,41264062.0,41264062,chr19,0.0015699999639764428,0.00013000000035390258,0.0008499999821651727
cg00947019,chr7,44848358.0,44848358,chr7,0.0016700000269338489,3.9999998989515007e-05,0.0008550000129616819
cg05748073,chr17,81239319.0,81239319,chr17,0.001610000035725534,0.00011000000085914508,0.0008600000182923395
cg11780327,chr5,176537451.0,176537451,chr5,0.0013200000394135714,0.0004199999966658652,0.0008700000180397183
cg20163807,chr12,53380043.0,53380043,chr12,0.0013200000394135714,0.0004199999966658652,0.0008700000180397183
cg08201755,chr14,74493409.0,74493409,chr14,0.0016199999954551458,0.00013000000035390258,0.0008749999979045242
cg10820988,chr1,100037632.0,100037632,chr1,0.0006399999838322401,0.001180000021122396,0.000910000002477318
cg10854158,chr2,88627524.0,88627524,chr2,0.0016700000269338489,0.0001500000071246177,0.0009100000170292333
cg27482485,chr17,7307476.0,7307476,chr17,0.0018700000364333391,0.0,0.0009350000182166696
cg17719956,chr5,151771742.0,151771742,chr5,0.0018700000364333391,9.999999747378752e-06,0.0009400000180903589
cg05139434,chr1,40862507.0,40862507,chr1,0.001610000035725534,0.0002800000074785203,0.0009450000216020271
cg18846423,chr7,44848238.0,44848238,chr7,0.0018700000364333391,2.9999999242136255e-05,0.0009500000178377377
cg23263051,chr17,76737342.0,76737342,chr17,0.0018700000364333391,7.000000186963007e-05,0.0009700000191514846
cg05429359,chr7,151028297.0,151028297,chr7,0.001970000099390745,7.000000186963007e-05,0.0010200000506301876
cg07693657,chr11,68030507.0,68030507,chr11,0.0019000000320374966,0.0001500000071246177,0.0010250000195810571
cg03494138,chr6,24721037.0,24721037,chr6,0.0015699999639764428,0.0005099999834783375,0.0010399999737273902
cg02076414,chr1,47314248.0,47314248,chr1,0.000590000010561198,0.0014900000533089042,0.001040000031935051
cg13002945,chr7,23014207.0,23014207,chr7,0.000590000010561198,0.0014900000533089042,0.001040000031935051
cg20501069,chr17,7572497.0,7572497,chr17,0.000590000010561198,0.0014900000533089042,0.001040000031935051
cg09696331,chr12,401498.0,401498,chr12,0.0018700000364333391,0.00022000000171829015,0.0010450000190758146
cg03063453,chr19,52189880.0,52189880,chr19,0.0018700000364333391,0.00022000000171829015,0.0010450000190758146
cg11756346,chr20,49219343.0,49219343,chr20,0.00018000000272877514,0.001930000027641654,0.0010550000151852146
cg18079631,chr14,21269605.0,21269605,chr14,0.002139999996870756,9.999999747378752e-06,0.0010749999983090675
cg12169977,chr6,26183600.0,26183600,chr6,0.00022000000171829015,0.001930000027641654,0.001075000014679972
cg00635528,chr17,45147566.0,45147566,chr17,0.001610000035725534,0.0005600000149570405,0.0010850000253412873
cg08862778,chr1,11262585.0,11262585,chr1,0.0013099999632686377,0.0008800000068731606,0.0010949999850708991
cg06383531,chr19,4471624.0,4471624,chr19,0.0015699999639764428,0.0006699999794363976,0.0011199999717064202
cg22185573,chr17,7307460.0,7307460,chr17,0.002240000059828162,0.0,0.001120000029914081
cg07139811,chr2,175168322.0,175168322,chr2,0.002240000059828162,9.999999747378752e-06,0.0011250000297877705
cg15769256,chr15,75454216.0,75454216,chr15,0.002240000059828162,9.999999747378752e-06,0.0011250000297877705
cg04257877,chr7,66844965.0,66844965,chr7,0.002240000059828162,9.999999747378752e-06,0.0011250000297877705
cg24633242,chr16,53503394.0,53503394,chr16,0.001970000099390745,0.0002800000074785203,0.0011250000534346327
cg08872461,chr19,42076002.0,42076002,chr19,0.002240000059828162,1.9999999494757503e-05,0.0011300000296614598
cg09345010,chr13,51584286.0,51584286,chr13,0.0005499999970197678,0.00171999994199723,0.001134999969508499
cg01986883,chr4,163165856.0,163165856,chr4,0.00033000000985339284,0.0019399999873712659,0.0011349999986123294
cg21989094,chr19,38930654.0,38930654,chr19,0.0007699999841861427,0.001509999972768128,0.0011399999784771353
cg07905888,chr1,35557643.0,35557643,chr1,0.0010999999940395355,0.001180000021122396,0.0011400000075809658
cg18474152,chr13,40770776.0,40770776,chr13,0.002090000081807375,0.0001900000061141327,0.0011400000439607538
cg09938965,chr16,89490778.0,89490778,chr16,0.002240000059828162,4.999999873689376e-05,0.001145000029282528
cg08020574,chr16,89490773.0,89490773,chr16,0.002240000059828162,4.999999873689376e-05,0.001145000029282528
cg08124278,chr22,29767045.0,29767045,chr22,0.0018700000364333391,0.0004299999854993075,0.0011500000109663233
cg03436149,chr11,64185926.0,64185926,chr11,0.002240000059828162,7.000000186963007e-05,0.0011550000308488961
cg02942159,chr9,19379995.0,19379995,chr9,0.002309999894350767,3.9999998989515007e-05,0.001174999946670141
cg12271332,chr8,66667372.0,66667372,chr8,0.0009200000204145908,0.001449999981559813,0.001185000000987202
cg24376021,chr19,42076012.0,42076012,chr19,0.002240000059828162,0.00013000000035390258,0.0011850000300910324
cg26439916,chr16,2155604.0,2155604,chr16,0.002240000059828162,0.00013000000035390258,0.0011850000300910324
cg14612625,chr5,144170848.0,144170848,chr5,0.0018700000364333391,0.0005099999834783375,0.0011900000099558383
cg12269343,chr14,81534088.0,81534088,chr14,0.001970000099390745,0.0004199999966658652,0.0011950000480283052
cg17289202,chr18,58863556.0,58863556,chr18,0.002219999907538295,0.0002099999983329326,0.0012149999529356137
cg25355972,chr21,42893288.0,42893288,chr21,0.0004900000058114529,0.0019399999873712659,0.0012149999965913594
cg01881255,chr19,40444795.0,40444795,chr19,0.002369999885559082,7.999999797903001e-05,0.001224999941769056
cg13666293,chr4,474341.0,474341,chr4,0.0015699999639764428,0.0008800000068731606,0.0012249999854248017
cg24081764,chr19,53898861.0,53898861,chr19,0.0024500000290572643,9.999999747378752e-06,0.0012300000144023215
cg07927426,chr8,30083274.0,30083274,chr8,0.002219999907538295,0.00026000000070780516,0.00123999995412305
cg04562391,chr8,30083260.0,30083260,chr8,0.002219999907538295,0.00026000000070780516,0.00123999995412305
cg03516708,chr14,23555670.0,23555670,chr14,0.002400000113993883,7.999999797903001e-05,0.0012400000559864566
cg18263177,chr19,48363947.0,48363947,chr19,0.0006200000061653554,0.001879999996162951,0.0012500000011641532
cg11533392,chr2,128028095.0,128028095,chr2,0.001970000099390745,0.000539999979082495,0.00125500003923662
cg01587630,chr7,23014200.0,23014200,chr7,0.000590000010561198,0.0019399999873712659,0.001264999998966232
cg06226431,chr1,31644905.0,31644905,chr1,0.000590000010561198,0.0019399999873712659,0.001264999998966232
cg19088859,chr1,54053496.0,54053496,chr1,0.0006300000241026282,0.0019000000320374966,0.0012650000280700624
cg23962560,chr1,40862487.0,40862487,chr1,0.002400000113993883,0.0001500000071246177,0.0012750000605592504
cg11357813,chr19,52189810.0,52189810,chr19,0.00011999999696854502,0.0024500000290572643,0.0012850000130129047
cg04856841,chr1,156338483.0,156338483,chr1,0.0002699999895412475,0.002300000051036477,0.0012850000202888623
cg09270685,chr1,54053509.0,54053509,chr1,0.0006500000017695129,0.0019399999873712659,0.0012949999945703894
cg26256916,chr6,26183594.0,26183594,chr6,0.0001500000071246177,0.0024500000290572643,0.001300000018090941
cg13467649,chr8,27772824.0,27772824,chr8,0.001610000035725534,0.0010100000072270632,0.0013100000214762986
cg27428660,chr1,54053500.0,54053500,chr1,0.0006500000017695129,0.0020000000949949026,0.0013250000483822078
cg15099410,chr1,28259320.0,28259320,chr1,0.0012100000167265534,0.001449999981559813,0.0013299999991431832
cg15388895,chr19,49451909.0,49451909,chr19,0.00022000000171829015,0.0024500000290572643,0.0013350000153877772
cg08974500,chr6,170554198.0,170554198,chr6,0.0026700000744313,0.0,0.00133500003721565
cg11584041,chr19,42075997.0,42075997,chr19,0.0026700000744313,1.9999999494757503e-05,0.0013450000369630288
cg23752691,chr17,16380685.0,16380685,chr17,0.0015699999639764428,0.0011500000255182385,0.0013599999947473407
cg01094787,chr12,2812490.0,2812490,chr12,0.0015699999639764428,0.0011500000255182385,0.0013599999947473407
cg24865637,chr17,41786922.0,41786922,chr17,0.0027199999894946814,9.999999747378752e-06,0.00136499999462103
cg04776735,chr22,28741974.0,28741974,chr22,0.0015699999639764428,0.001180000021122396,0.0013749999925494194
cg15570296,chr1,12019379.0,12019379,chr1,0.002240000059828162,0.0005099999834783375,0.0013750000216532499
cg07577263,chr7,135557836.0,135557836,chr7,0.0018700000364333391,0.0009200000204145908,0.001395000028423965
cg18230417,chr1,6785358.0,6785358,chr1,0.002400000113993883,0.00039000000106170774,0.0013950000575277954
cg04638397,chr5,32313180.0,32313180,chr5,0.0026700000744313,0.00016999999934341758,0.0014200000368873589
cg09346904,chr8,6708291.0,6708291,chr8,0.0026700000744313,0.00016999999934341758,0.0014200000368873589
cg11062046,chr7,64794322.0,64794322,chr7,0.00107999995816499,0.0017900000093504786,0.0014349999837577343
cg01076200,chr1,156338644.0,156338644,chr1,0.0012100000167265534,0.0016899999463930726,0.001449999981559813
cg21336547,chr19,15379741.0,15379741,chr19,0.0026700000744313,0.0002300000051036477,0.001450000039767474
cg26191923,chr6,26183455.0,26183455,chr6,0.002240000059828162,0.0006699999794363976,0.0014550000196322799
cg08229183,chr7,77122541.0,77122541,chr7,0.002400000113993883,0.000539999979082495,0.001470000046538189
cg03352322,chr19,52189794.0,52189794,chr19,7.999999797903001e-05,0.0028800000436604023,0.0014800000208197162
cg18455978,chr19,38930620.0,38930620,chr19,0.002240000059828162,0.0007200000109151006,0.0014800000353716314
cg15123881,chr1,40862460.0,40862460,chr1,0.001610000035725534,0.0013500000350177288,0.0014800000353716314
cg01170099,chr14,81534086.0,81534086,chr14,0.002400000113993883,0.0005699999746866524,0.0014850000443402678
cg21452652,chr7,64794334.0,64794334,chr7,0.002400000113993883,0.0005699999746866524,0.0014850000443402678
cg09255318,chr19,53890139.0,53890139,chr19,0.001970000099390745,0.0010100000072270632,0.0014900000533089042
cg09356526,chr12,14803535.0,14803535,chr12,0.0026700000744313,0.00031999999191612005,0.00149500003317371
cg08938402,chr1,156338479.0,156338479,chr1,0.00011999999696854502,0.0028800000436604023,0.0015000000203144737
cg26993071,chr19,2785354.0,2785354,chr19,0.00107999995816499,0.0019399999873712659,0.001509999972768128
cg26117517,chr4,474344.0,474344,chr4,0.0018700000364333391,0.0011500000255182385,0.0015100000309757888
cg15539901,chr8,123072573.0,123072573,chr8,0.0018700000364333391,0.0011500000255182385,0.0015100000309757888
cg19189310,chr6,34426001.0,34426001,chr6,0.002309999894350767,0.0007200000109151006,0.0015149999526329339
cg13388992,chr19,9835229.0,9835229,chr19,0.0027799999807029963,0.0002800000074785203,0.0015299999940907583
cg12082325,chr19,9835232.0,9835232,chr19,0.0027799999807029963,0.0002800000074785203,0.0015299999940907583
cg10585870,chr19,14419501.0,14419501,chr19,0.0026700000744313,0.00039000000106170774,0.001530000037746504
cg17223624,chr19,6737812.0,6737812,chr19,0.0026700000744313,0.00039000000106170774,0.001530000037746504
cg06505999,chr17,8156425.0,8156425,chr17,0.000590000010561198,0.0024999999441206455,0.0015449999773409218
cg27005053,chr16,75433475.0,75433475,chr16,0.0026700000744313,0.0004199999966658652,0.0015450000355485827
cg01100678,chr19,5791267.0,5791267,chr19,0.0014199999859556556,0.0016899999463930726,0.001554999966174364
cg02975069,chr7,77122505.0,77122505,chr7,0.002940000034868717,0.00019999999494757503,0.0015700000149081461
cg26033531,chr7,77122588.0,77122588,chr7,0.002400000113993883,0.000750000006519258,0.0015750000602565706
cg25714381,chr7,77122575.0,77122575,chr7,0.002400000113993883,0.000750000006519258,0.0015750000602565706
cg16240962,chr2,128028103.0,128028103,chr2,0.002400000113993883,0.000750000006519258,0.0015750000602565706
cg23818931,chr22,27919364.0,27919364,chr22,0.0031799999997019768,0.0,0.0015899999998509884
cg09200186,chr16,2223438.0,2223438,chr16,0.0031799999997019768,9.999999747378752e-06,0.0015949999997246778
cg20535044,chr4,174283266.0,174283266,chr4,0.0031799999997019768,9.999999747378752e-06,0.0015949999997246778
cg05833251,chr14,23469574.0,23469574,chr14,0.0031799999997019768,9.999999747378752e-06,0.0015949999997246778
cg09979728,chr19,41397549.0,41397549,chr19,0.0031900000758469105,0.0,0.0015950000379234552
cg12768767,chr1,47314293.0,47314293,chr1,0.0031799999997019768,1.9999999494757503e-05,0.0015999999995983671
cg24838043,chr17,4967286.0,4967286,chr17,0.0031900000758469105,9.999999747378752e-06,0.0016000000377971446
cg03123773,chr12,56116416.0,56116416,chr12,0.002309999894350767,0.000910000002477318,0.0016099999484140426
cg11888235,chr19,12891069.0,12891069,chr19,0.0031799999997019768,3.9999998989515007e-05,0.0016099999993457459
cg25450986,chr17,40418103.0,40418103,chr17,0.0031900000758469105,3.9999998989515007e-05,0.0016150000374182127
cg26938153,chr7,138002179.0,138002179,chr7,0.0013099999632686377,0.001930000027641654,0.0016199999954551458
cg08817965,chr17,40418111.0,40418111,chr17,0.0031900000758469105,5.999999848427251e-05,0.0016250000371655915
cg16873684,chr2,200963863.0,200963863,chr2,0.0031900000758469105,5.999999848427251e-05,0.0016250000371655915
cg01694476,chr19,893268.0,893268,chr19,0.0031799999997019768,9.000000136438757e-05,0.0016350000005331822
cg25302936,chr8,66667360.0,66667360,chr8,9.999999747378752e-05,0.0032099999953061342,0.0016549999963899609
cg11101918,chr17,8156540.0,8156540,chr17,0.0031799999997019768,0.00013000000035390258,0.0016550000000279397
cg25091056,chr6,26235233.0,26235233,chr6,0.001970000099390745,0.0013500000350177288,0.001660000067204237
cg08962767,chr12,53379997.0,53379997,chr12,0.0026700000744313,0.0006699999794363976,0.0016700000269338489
cg06073386,chr11,66958433.0,66958433,chr11,0.0026700000744313,0.0006699999794363976,0.0016700000269338489
cg01729403,chr8,123072581.0,123072581,chr8,0.0018700000364333391,0.0014900000533089042,0.0016800000448711216
cg05953781,chr15,51971804.0,51971804,chr15,0.0018700000364333391,0.001509999972768128,0.0016900000046007335
